tweets,quote_status,language,favorite_count,retweet_count,time
"@Bughead_Support Bughead, no doubts ✨",False,en,0,0,2021-02-26 21:59:00
@Bughead_Support @BugheadUpdates Bughead💙,False,en,0,0,2021-02-26 21:55:39
RT @barchiesdreams: just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,False,en,0,6,2021-02-26 21:55:23
They pretty much just called Barchie meaningless. Bughead fandom truly won,False,en,3,0,2021-02-26 21:55:00
"RT @slowburnsftw: the story of bughead is betty being in love with archie, cheating on jughead, lying to jughead, not communicating with ju…",True,en,0,2,2021-02-26 21:54:17
RT @bonkalore: A commission of “The Hunger” #bughead I got a while back for alpcacalypseart! I had wanted to post it round halloween but th…,False,en,0,5,2021-02-26 21:53:49
@Bughead_Support bughead,False,en,0,0,2021-02-26 21:49:21
"Ok.. 
i like both Barchie and Bughead🙈
#Riverdale",False,en,0,0,2021-02-26 21:48:43
@CW_Riverdale I'm honestly not going waste my energy on b*rchie anymore because in the end Bughead &amp; Varchie are endgame.,False,en,0,0,2021-02-26 21:48:41
RT @BugheadUpdates: missing bughead forehead kisses #riverdale https://t.co/hPBHBuzigB,False,en,0,4,2021-02-26 21:48:36
RT @BugheadUpdates: Most underrated Bughead scene? #Riverdale https://t.co/9zjR31F1qB,False,en,0,34,2021-02-26 21:48:11
@Bughead_Support Bughead Endgame❤,False,en,0,0,2021-02-26 21:47:45
VARCHIE AND BUGHEAD REUNIONS COMING https://t.co/Xrg74LkC0T,False,en,6,0,2021-02-26 21:47:26
RT @BUGGIEDALE: @CW_Riverdale i have a better question. where is bughead? https://t.co/3BtFgcqXdQ,False,en,0,6,2021-02-26 21:47:23
"the story of bughead is betty being in love with archie, cheating on jughead, lying to jughead, not communicating with jughead, and then fucking archie 7 years later. that’s why bh doesn’t work and is fantasy https://t.co/SjXnh51Cg5",True,en,19,2,2021-02-26 21:46:30
"RT @Decy_Fanarts000: She's pregnant🤗🤗!! You can read the short story on Ao3 or Wattpad called 'Cat Reveal'🐱🐱

#bughead 
@lilireinhart 
@col…",False,en,0,14,2021-02-26 21:43:49
@Bughead_Support Bughead❤️,False,en,0,0,2021-02-26 21:43:40
missing bughead forehead kisses #riverdale https://t.co/hPBHBuzigB,False,en,51,4,2021-02-26 21:41:29
@Bughead_Support Bughead,False,en,0,0,2021-02-26 21:40:55
@Bughead_Support Bughead 💙💛,False,en,1,0,2021-02-26 21:39:24
RT @Bughead_Support: Comment Bughead if you're here until the end. Just trying to see something... #Riverdale,False,en,0,5,2021-02-26 21:38:18
"A commission of “The Hunger” #bughead I got a while back for alpcacalypseart! I had wanted to post it round halloween but that was also when my computer decided to die on and off for 2 months and then I forgot. 8′)

Well I’m posting it now! 

#JugheadTheHunger https://t.co/TqxQfNQbjT",False,en,13,5,2021-02-26 21:37:07
@Bughead_Support bughead https://t.co/zUoUwbz1T7,False,en,0,0,2021-02-26 21:36:46
RT @BestShipsInTheW: Jughead and Betty from Riverdale  https://t.co/hiOcsjSxxh,False,en,0,51,2021-02-26 21:36:34
RT @smugheadjones: they don’t talk about anything https://t.co/Op9oMjZAaP,True,en,0,5,2021-02-26 21:35:28
@azalben Alex yu down bad 🤣🤦🏾‍♀️. we need bughead back after hiatus . https://t.co/4r2Q3uKPik,False,en,0,0,2021-02-26 21:34:56
@Bughead_Support Bughead😌,False,en,0,0,2021-02-26 21:34:02
"@Bughead_Support Bughead
https://t.co/zzs2RlPW9j",False,en,1,0,2021-02-26 21:33:58
@CW_Riverdale nah bughead endgame. they look so disconnected,False,en,2,0,2021-02-26 21:32:34
RT @BugheadUpdates: This was probably the best moment in the Bughead fandom. It's gonna be so much better when they get back together #Rive…,False,en,0,43,2021-02-26 21:31:46
@Bughead_Support bughead 😼,False,en,0,0,2021-02-26 21:31:06
RT @bcttyronnie: naley x bughead parallels; a thread https://t.co/AcO16Cm97s,False,en,0,10,2021-02-26 21:30:53
@Bughead_Support bughead.,False,en,0,0,2021-02-26 21:23:17
"RT @MidwestRambling: As a person who does in fact ship Bughead, I must admit these Barchie scenes are hotter than the OG couples... and tha…",False,en,0,12,2021-02-26 21:23:14
@Bughead_Support Bughead love them https://t.co/n51uJGe2Xa,False,en,0,0,2021-02-26 21:20:47
RT @bugheaddox: I want to make some friends on here so feel free to private message me I would love to get to know you all 💞  #Riverdale #H…,False,en,0,1,2021-02-26 21:19:28
@lovexvision @lilireinhart i said bughead true love and barchie just backup,False,en,0,0,2021-02-26 21:18:57
I want to make some friends on here so feel free to private message me I would love to get to know you all 💞  #Riverdale #HarryPotter #BUGHEADENDGAME #bughead #dramione #choni #varchie #hinny #wolfstar #remadora #jilly #Titanic #SpiderMan,False,en,3,1,2021-02-26 21:18:11
@Bughead_Support @_cristimtz04 Bughead,False,en,0,0,2021-02-26 21:17:16
I feel like Bughead will find Polly!! https://t.co/2qXEZ8fWqo https://t.co/Bux1kjHHdk,True,en,1,0,2021-02-26 21:15:49
@Bughead_Support Bughead Endgame 🥰🥰🥰,False,en,1,0,2021-02-26 21:15:32
@Bughead_Support Always a bugheader... @bughead_support,False,en,0,0,2021-02-26 21:15:07
@CW_Riverdale bughead could find her,False,en,0,0,2021-02-26 21:14:47
"1 hour and 44 minutes left....
#TeamBughead #Bughead https://t.co/tTxVmgpPkX",True,en,0,0,2021-02-26 21:12:51
@Bughead_Support bughead :),False,en,0,0,2021-02-26 21:12:34
RT @reinhartsdivine: @CW_Riverdale endgame couple 👇🏻 #bughead https://t.co/70WyQ1NbuS,False,en,0,1,2021-02-26 21:12:34
@10000sexarses a very violent thought crept into my mind when I saw this. Bughead.,False,en,1,0,2021-02-26 21:09:13
"RT @Deckerstar_6666: For the #Riverdale fans.
(I'm personally a Bughead shipper)",False,en,0,162,2021-02-26 21:08:03
@Bughead_Support BUGHEAD,False,en,1,0,2021-02-26 21:07:57
@CW_Riverdale bughead will find her https://t.co/7ZybF8LWf5,False,en,30,1,2021-02-26 21:07:18
RT @mariareinhaart: where is bughead?devolvedme a bughead,True,en,0,1,2021-02-26 21:06:40
@Bughead_Support Bughead ✨,False,en,0,0,2021-02-26 21:06:09
@chintandesaiii @classyreinhart Just Wait and watch bugHead and Varchie is end game here,False,en,0,0,2021-02-26 21:05:33
@Bughead_Support Bughead :),False,en,0,0,2021-02-26 21:05:20
RT @reinhartsdivine: miss you.... :( #bughead https://t.co/0aHijaoNjU,False,en,0,3,2021-02-26 21:04:12
"134) i’m pregnant - 50shades-of-bughead (betty cooper + jughead jones)🤰🏼

one-shot // sem contagem (drabble tumblr)",False,en,0,0,2021-02-26 21:03:41
also my biggest flex is that I saw this moment live and I told my siblings (who shipped bughead) that I had a big feeling they were going to kiss and when then they did 😎😎 and my siblings said they were cute too,False,en,1,0,2021-02-26 21:02:55
where is bughead?devolvedme a bughead https://t.co/TqFsN3j2eg,True,en,1,1,2021-02-26 21:02:42
@CW_Riverdale Idk maybe jughead can help bughead exes to lovers https://t.co/UQdaHcv9XZ,False,en,11,1,2021-02-26 21:02:06
@CW_Riverdale i have a better question. where is bughead? https://t.co/3BtFgcqXdQ,False,en,46,6,2021-02-26 21:01:34
"BARCHIE or BUGHEAD.     
Me: bughead is endgame 💕. @CW_Riverdale",False,en,0,0,2021-02-26 21:01:19
@Bughead_Support Bughead!,False,en,0,0,2021-02-26 21:01:16
RT @BugheadUpdates: @CW_Riverdale okay and bughead when https://t.co/ty4Rcel2ri,False,en,0,7,2021-02-26 21:01:15
@classyreinhart @Bughead_Support gonna rewatch season 1 for these scenes and these scenes only,False,en,0,0,2021-02-26 21:00:42
@classyreinhart @Bughead_Support i miss them solving mysteries and kissing and cuddling 😒,False,en,0,0,2021-02-26 20:59:25
@Bughead_Support @BugheadUpdates bughead,False,en,1,0,2021-02-26 20:58:42
@classyreinhart @Bughead_Support For sure can't wait 😍,False,en,0,0,2021-02-26 20:54:52
Bughead or barchie  ¯\_(ツ)_/¯,False,en,0,0,2021-02-26 20:54:08
@Bughead_Support Bughead 4 life,False,en,1,0,2021-02-26 20:53:36
RT @rhondasa10: #barchie cannot be endgame nd d reason is not #varchie its #bughead...its just the superior ship...archie will always b a p…,False,en,0,1,2021-02-26 20:53:29
@Bughead_Support bughead endgame,False,en,1,0,2021-02-26 20:52:01
@Bughead_Support Bughead ❤🐍❤,False,en,1,0,2021-02-26 20:50:09
any good bughead parenting fanfic recommendation???,False,en,3,0,2021-02-26 20:49:01
"@Ls2393710611 @CW_Riverdale ik its your opinion I just think its dumb that u want pay back like I live Bughead and Varchie but I wanna see where Barchie goes im sorry I came off rude but all I wanna see ifBarchie gets somewhere, thats my opinion and I get yours but why would they get pay back after 7 years?",False,en,0,0,2021-02-26 20:48:37
"@Stephaniess8241 @RiverdaleBrasil @WarnerChannelBR Keep dreaming, Bughead is dead",False,en,0,0,2021-02-26 20:48:31
@bughead_luvs @Bughead_Support @BugheadUpdates Bughead endgame,False,en,0,0,2021-02-26 20:45:45
@colesprouse m taking your dating privileges 😌✋🏿.  #Riverdale #jughead #bughead #southsideserpants,False,en,1,0,2021-02-26 20:45:43
not me having #bughead depression hour ..,False,en,4,0,2021-02-26 20:45:29
miss you.... :( #bughead https://t.co/0aHijaoNjU,False,en,35,3,2021-02-26 20:44:58
I miss bughead wtf https://t.co/j66usvwhjf,False,en,9,0,2021-02-26 20:43:22
@Erisluvie @enigmabuqhead and of s2 i think,False,en,0,0,2021-02-26 20:42:47
they are meant to be together #bughead https://t.co/cfa8t3sICH,False,en,12,1,2021-02-26 20:41:58
@Bughead_Support Bughead😙,False,en,1,0,2021-02-26 20:40:25
@Bughead_Support #bughead 💯 nothing changing my mind :),False,en,1,0,2021-02-26 20:39:12
"RT @BUGGIEDALE: calling one couple a  ""chemistry waste"" when THIS excited while their ""chemistry"" was wasting is just embarrassing. 
#River…",False,en,0,24,2021-02-26 20:38:54
"RT @PRFCTSPR0USE: tori here! i’m back🤗 
here’s my stan list!
 • sabrina carpenter
 • justin bieber 
 • jughead jones &amp; cole sprouse 
 • oli…",False,en,0,9,2021-02-26 20:38:49
@Bughead_Support Bughead.,False,en,1,0,2021-02-26 20:37:36
@CW_Riverdale BUGHEAD ENDGAME PERIOD!❤,False,en,0,0,2021-02-26 20:36:48
"@SuperheroTVcom neither, bughead",False,en,1,0,2021-02-26 20:36:32
RT @bugheadblossom: @CW_Riverdale OK NOW GIVE US BUGHEAD AND CHONI,False,en,0,6,2021-02-26 20:35:05
"RT @reinhartsbliss: @CW_Riverdale Bughead endgame 😗
https://t.co/MH0rETfi6n",False,en,0,12,2021-02-26 20:34:55
relationship was weird (again pre manipulation revelation) couldn't care less that the same standards kind of applied to bughead. my point is I couldn't care less if people ship bughead just don't be a hypocrite about it please,False,en,1,0,2021-02-26 20:34:53
I also think that before it was revealed that she manipulated him people thought Jenna and Toby's relationship in pll was weird bc they were step siblings and #bughead practically were step siblings and even shared a sibling and the same people who thought Jenna and Toby's,False,en,1,0,2021-02-26 20:34:53
RT @jenniesivy: @CW_Riverdale bughead endgame when https://t.co/G7kmcS3V1d,False,en,0,14,2021-02-26 20:34:48
@CW_Riverdale bughead endgame bitches,False,en,0,0,2021-02-26 20:34:39
@Bughead_Support Bughead 💕,False,en,1,0,2021-02-26 20:31:58
@Bughead_Support @BugheadUpdates bughead forever https://t.co/bX9AQ24p2U,False,en,1,0,2021-02-26 20:28:38
@classyreinhart hes wrote me on every bughead posts about 100x deep down I swear that this person is a bughead,False,en,1,0,2021-02-26 20:28:36
@Bughead_Support bughead bby 😙✌️,False,en,1,0,2021-02-26 20:27:26
@CW_Riverdale endgame couple 👇🏻 #bughead https://t.co/70WyQ1NbuS,False,en,5,1,2021-02-26 20:27:06
"RT @bestshipsxworld: toni topaz and cheryl blossom from riverdale
 https://t.co/mwWsT4ofLI",False,en,0,114,2021-02-26 20:26:08
Comment Bughead if you're here until the end. Just trying to see something... #Riverdale,False,en,90,5,2021-02-26 20:25:59
@glowlust the last time i watched bughead was still a thing,False,en,0,0,2021-02-26 20:15:21
naley x bughead parallels; a thread https://t.co/AcO16Cm97s,False,en,54,10,2021-02-26 20:13:59
Bughead Comeback on season 5 ??🙏🏻🙏🏻 @azalben @CW_Riverdale @lilireinhart,False,en,0,0,2021-02-26 20:12:38
"@slowburnsftw you can tell Archie loves Ronnie, and the sex is meaningless between barchie. anyways why are you so obsessed with every bughead fan?",False,en,0,0,2021-02-26 20:09:50
"@CW_Riverdale I like both #Barchie and #Bughead, it's complicated and I know I need help. 😜 #RiverdaleSeason5",False,en,0,0,2021-02-26 20:09:33
@azalben Bughead Comeback on season 5,False,en,1,0,2021-02-26 20:08:18
"@crimsonclover90 @barchanted Yeah, because Bughead makes such a dang great team.",False,en,0,0,2021-02-26 20:08:09
"i think they are gonna show us like a cropped bh scene and we’ll see something suspicious cause we know our king&amp;queen, and will spend THE 4 WHOLE MONTHS proving that in fact, is a bughead scene😌 https://t.co/ld2PfCZHzB",True,en,1,0,2021-02-26 20:05:30
@JakeConcentrate I miss bughead 😭,False,en,0,0,2021-02-26 20:04:45
"RT @NetflixLifee: Who do you ship? 

RT Bughead 
Like for Barchie 

#Riverdale https://t.co/Hus12z4PAE",False,en,0,3185,2021-02-26 20:01:34
"tori here! i’m back🤗 
here’s my stan list!
 • sabrina carpenter
 • justin bieber 
 • jughead jones &amp; cole sprouse 
 • olivia rodrigo 
 • and bughead 

🙏🏻DO NOT FOLLOW IF U LIKE B*RCHIE I DONT SAY VERY NICE THINGS ABOUT THEM. B*RCHIE FREE SAFE ZONE IS HERE🙏🏻)",False,en,51,9,2021-02-26 20:00:31
just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,False,en,32,6,2021-02-26 19:56:08
RT @dylsbrien: majority of bughead’s shippers comes from people obsessed with cole sp*ouse especially locals,False,en,0,9,2021-02-26 19:51:56
"@crimsonclover90 @barchanted Um, Bughead is still driving the mysteries.",False,en,0,0,2021-02-26 19:47:54
"RT @mybarchie: one more thing, when barchie gets in a confirmed relationship THEN we can start comparing and contrasting to varchie and bug…",False,en,0,5,2021-02-26 19:47:18
"@crimsonclover90 @barchanted Then why are you arguing with a Bughead? Go enjoy the content while it lasts.
I was explaining how I felt thus far: B&amp;A offer nothing enticing together",False,en,0,0,2021-02-26 19:47:06
@TABlTHATATE @jugschandler WHY DID U ADD A BUGHEAD GIF THEY HAVE NOTHING TO DO WITH THIS!@#$56,False,en,0,0,2021-02-26 19:46:52
"She's pregnant🤗🤗!! You can read the short story on Ao3 or Wattpad called 'Cat Reveal'🐱🐱

#bughead 
@lilireinhart 
@colesprouse https://t.co/swVBC51Ec3",False,en,87,14,2021-02-26 19:44:38
so what? they can ship varchie. i love bughead too https://t.co/mmGKOqykwM,True,en,5,0,2021-02-26 19:44:22
RT @willsjug: right but when are we getting them back?? #Riverdale https://t.co/ir8mzqm065,False,en,0,14,2021-02-26 19:42:40
It’s missing bughead hours https://t.co/jx9DFIjUKO,False,en,1,0,2021-02-26 19:39:29
"RT @apreciegIlespie: @djnships Bughead

JATP DESERVES A SEASON 2",False,en,0,1,2021-02-26 19:37:38
RT @BugheadGif: it's good to see you too jug [5.05] #bughead #riverdale https://t.co/O3qlnpVAC9,False,en,0,110,2021-02-26 19:35:25
"Choni, Bughead, and Varchie are so relaxing and calming to see",False,en,11,0,2021-02-26 19:35:14
"@djnships Bughead

JATP DESERVES A SEASON 2",False,en,1,1,2021-02-26 19:33:16
"@sprcole i mean, he always wears converse, and the picture is a man wearing converse",False,en,0,0,2021-02-26 19:32:21
"@geritisfanfic @snsationalmagic @stydisonvibes They would be cute, but the writers would never do that sadly. :/ I can’t help but to feel no matter who they put her with, the storyline is gonna be used to cause angst between the ships. Bughead and Choni will get back together in the end. She deserves better.",False,en,1,0,2021-02-26 19:26:19
someone wrote 'bughead' with a heart in my science textbook....i agree,False,en,0,0,2021-02-26 19:24:03
Started watching Riverdale because of #varchie tbh. I like them almost as much as #bughead. Also like for varchie ;) https://t.co/pwm9qR6mi1,True,en,1,1,2021-02-26 19:20:07
RT @bugheadIines: im surviving. ‘cause you’re here with me. https://t.co/hKHSZks9Rh,False,en,0,38,2021-02-26 19:18:18
RT @fcrsythe: if you think betty and jughead are on good terms right now then you’re not watching the show correctly,False,en,0,20,2021-02-26 19:18:18
RT @bugheadspov: sigh... #Riverdale https://t.co/Hu4bAajJiZ,False,en,0,68,2021-02-26 19:17:02
RT @juqheadjonez: thinking abt how theres babies right beside them 💖💘💝💕💞💞💗 https://t.co/VwhvpT625e,False,en,0,11,2021-02-26 19:17:00
RT @castrvdooc: one of my favorite videos https://t.co/FjOIkqKVEY,False,en,0,8,2021-02-26 19:16:40
"RT @bugheadspov: is jughead home?
no he’s at work
oh 😕
GIRLY LOOKED DISAPPOINTED AND FOR WHAT 😭😭",False,en,0,28,2021-02-26 19:16:13
@CW_Riverdale I know you guys are really trying hard with this... and I do like them as individuals and best friends but I just can’t like them together. I’ve tried but I think it’s because #bughead existed before... just feels weird not seeing them together now 😔 https://t.co/lsmK76uJHY,False,en,1,0,2021-02-26 19:14:34
@bettyandjugrd @BarchieUpdates @RiverdaleWriter @WriterRAS please the betty and archie comments almost have the same amount of liked as the bughead comments,False,en,1,0,2021-02-26 19:13:01
RT @enbytabitha: miss tabitha tate you’ve committed a crime...you stole my heart https://t.co/iirRtS7o3l,False,en,0,32,2021-02-26 19:09:15
RT @CavalieriYlenia: @BugheadUpdates @Bughead_Support I really miss these two 😭😍❤️,False,en,0,1,2021-02-26 19:08:54
@N0va145 7 yrs hav passed nd b and a mite give der relationship a chance but my point is dey bth will b pulled in opp directions cos of v nd jug.....dey luv each oder coz dey r childhood bests frnds nd probably even dey expected to end up 2gether but #VARCHIE and #bughead happened...,False,en,1,0,2021-02-26 19:08:50
RT @cachervans: I'M NOT REALLY PREPARED IN ANY WAY FOR THIS. I'M GOING TO COLLAPSE https://t.co/1GdXqxKLlk,False,en,0,6,2021-02-26 19:08:15
RT @glialtrituttiaf: I miss my #BugHead . Bye. #Riverdale,False,en,0,1,2021-02-26 19:08:04
@BugheadUpdates @Bughead_Support I really miss these two 😭😍❤️,False,en,2,1,2021-02-26 19:05:09
if you don't see he's jealous of bughead i honestly don't know what to tell you.. https://t.co/IcbfPV3hh6,False,en,28,0,2021-02-26 19:04:39
if you dont ship bughead and varchie ima assume you just dont have taste for amazing ships,False,en,3,0,2021-02-26 19:04:14
when jughead finally comes back to talk with her and they both talk on missing each other betty says I asked about you the other day and we finally get our slowburn bughead reunion https://t.co/aO0gXLPIyU,True,en,3,0,2021-02-26 19:02:41
@CW_Riverdale Nope🤢🤢🤢🤢 this is cheapening how important and great Bughead &amp; Varchie are. Archie&amp;Betty are not it.,False,en,0,0,2021-02-26 19:02:39
@nymonologue is this like.. in the name of bughead?,False,en,1,0,2021-02-26 19:01:11
RT @lia_bronte: I want them back 🥺🤍 #bughead,True,en,0,3,2021-02-26 18:59:00
@jugxc yes but its fine when i see bughead 😌,False,en,1,0,2021-02-26 18:54:31
#bughead FOREVER!!,False,en,0,0,2021-02-26 18:52:32
bughead are getting kinda ****** 🏃🏃🏃🏃🏃🏃🏃,False,en,1,0,2021-02-26 18:50:04
Got s2 of Riverdale in the mail. Now I can start my rewatch &amp; thus my bughead vid for that season. 😁,False,en,0,0,2021-02-26 18:48:44
"RT @azalben: Wow, seven years and now Betty doesn't even remember her ex-boyfriend's name, smdh https://t.co/n0QQM3W8J0",False,en,0,93,2021-02-26 18:48:36
RT @BUGGIEDALE: Mr. Jones looks extra cute in this episode https://t.co/aeaROqPcdk,False,en,0,45,2021-02-26 18:46:54
"RT @maoagenes: ⠀ ⠀⠀
⠀ ⠀⠀
            /  just  a  reminder  that  ,  I  DON'T  SHIP  BARCHIE  .  nor  bughead  either  really  .  sorry  guy…",False,en,0,2,2021-02-26 18:45:45
"@colessmile1 @BugheadUpdates Awwww, you just made my day so much better. I've been thinking about bughead the whole day. I don't like Archie and Betty together. Jug and betty for life!!! That's the way it should be",False,en,0,0,2021-02-26 18:43:00
bughead: https://t.co/8Bg0LnSzI9,False,en,0,0,2021-02-26 18:41:04
"RT @sofia_cole4: 👫🔥 bughead is dead and should never come back. my baby deserves something real. Tabitha is the real deal, and jughead hasn…",True,en,0,1,2021-02-26 18:39:24
"👫🔥 bughead is dead and should never come back. my baby deserves something real. Tabitha is the real deal, and jughead hasnt looked this lighthearted all the past 4 seasons. @WriterRAS keep barchie, jughead deserves better than both of those sociopaths BUT jabitha stays! https://t.co/RCWoFUdSpY",True,en,6,1,2021-02-26 18:37:48
"one more thing, when barchie gets in a confirmed relationship THEN we can start comparing and contrasting to varchie and bughead. NOT now when they’re in a literal fwb situation😭",False,en,59,5,2021-02-26 18:37:22
"@classyreinhart I’m 100% convinced they’re a BH/VA stan. They barely post about their ship, their entire issue mainly contains th QTing Bughead and Varchies to spread hate.",False,en,1,0,2021-02-26 18:37:04
anyways #bughead / #sprousehart was real unlike barchie and their 3 s€x scenes 😒 and they probably gonna end after a few eps wbk 😂 so stay mad idc #BUGHEADENDGAME https://t.co/lmRwBeoIeK,False,en,1,0,2021-02-26 18:36:51
"i have a confession to make,,,,,,,,,,,,,, i used to have a riverdale fanpage on insta and i shipped bughead 🧍🧍",False,en,6,0,2021-02-26 18:35:16
RT @barchiesupreme: This u? @ bughead stans https://t.co/ObwRcXzp4o,True,en,0,1,2021-02-26 18:34:43
This u? @ bughead stans https://t.co/nrpIlT0nIS https://t.co/ObwRcXzp4o,True,en,2,1,2021-02-26 18:31:24
"@bettyandjugrd @RiverdaleWriter @WriterRAS You mean Bughead stans with Cole’s icones lol? Again please google “general audience”, read carefully and then come back. Also reply with 400 likes against 350000 likes of actual post when pro Barchie comments have the same energy? Pls 😄",False,en,5,0,2021-02-26 18:24:36
bughead https://t.co/dmWEgoQCvx,True,en,1,0,2021-02-26 18:24:28
bughead https://t.co/gh1RZEjAJ3,True,en,1,0,2021-02-26 18:24:01
bughead s1 https://t.co/tqfs8sGXet,True,en,0,0,2021-02-26 18:23:30
bughead https://t.co/LLAf8x1Vwb,True,en,0,0,2021-02-26 18:23:18
@bettyandjugrd @BarchieUpdates @RiverdaleWriter @WriterRAS And they're people with more accounts to spam on the post cause you bughead's are delusional😂,False,en,0,0,2021-02-26 18:22:46
@SuperheroTVcom sorry #bughead,False,en,2,0,2021-02-26 18:22:28
bughead https://t.co/p9qXerMKKA,True,en,0,0,2021-02-26 18:19:59
bughead https://t.co/FrSla5jkU6,True,en,1,0,2021-02-26 18:19:06
Posting a bughead picture everyday until they get back together: Day 16❤️🕯️ https://t.co/xdtxGfBwlT,False,en,4,0,2021-02-26 18:17:31
@biohazardre3 When they get bughead after the hiatus and barchie is no longer https://t.co/8PQqaxRusg,False,en,1,0,2021-02-26 18:15:49
RT @classyreinhart: the day we get them back is gonna be such a good day😌 #Riverdale https://t.co/ZpzlUYiL4p,False,en,0,70,2021-02-26 18:15:42
bughead  i think jughaed is taller https://t.co/xbvtYOpRn7,True,en,1,0,2021-02-26 18:15:00
bughead https://t.co/VEZTxKDzj0,True,en,1,0,2021-02-26 18:14:15
bughead but is jughead rlly a goth https://t.co/jurre4nkGS,True,en,0,0,2021-02-26 18:13:32
bughead https://t.co/cKUX3rb8gQ,True,en,0,0,2021-02-26 18:13:06
bughead s1 https://t.co/lC1X2JN6xd,True,en,0,0,2021-02-26 18:12:45
RT @BugheadUpdates: This hurt a little... #Riverdale https://t.co/LHwdb6dpeX,False,en,0,40,2021-02-26 18:11:32
@CW_Riverdale they do kinda have chemistry but they gave us no time to move on from bughead. if they did it slowly over this whole season i’d like it better but riverdale too focused on sex and relationships to care about a storyline,False,en,0,0,2021-02-26 18:10:25
bughead again https://t.co/GDlMLjTxJ6,True,en,0,0,2021-02-26 18:08:48
bughead again https://t.co/XOJ87qAUED,True,en,0,0,2021-02-26 18:08:44
s1 bughead https://t.co/8mOZSrymgr,True,en,0,0,2021-02-26 18:08:39
"I honestly think jughead deserves someone better ... Yes. I said fuck it. 😒 

#RiverdaleSeason5 #Riverdale #BUGHEADENDGAME #bughead #Barchie https://t.co/SNRaKsfoDC",True,en,2,0,2021-02-26 18:07:57
"Dude, it’s really fun to do argument wars on riverdale’s ig just because #barchie vs #bughead ‘s ship😂",False,en,0,0,2021-02-26 18:07:57
Season 5 Bughead https://t.co/m42GtY8yBc,True,en,2,0,2021-02-26 18:07:41
Varchie &amp; Bughead endgame😕💔,False,en,0,0,2021-02-26 18:04:31
@CW_Riverdale Bughead Endgame https://t.co/6Lcd5ZA5y0,False,en,1,0,2021-02-26 18:03:23
"The day they/bughead gets back together is gonna be the best day. Happy, emotionally, and just everything will be OK! https://t.co/VpSe9wLerV",False,en,1,0,2021-02-26 18:01:53
This was probably the best moment in the Bughead fandom. It's gonna be so much better when they get back together #Riverdale https://t.co/ap5goYo641,False,en,291,43,2021-02-26 18:01:40
@buvghead call it now that its tabitha,False,en,0,0,2021-02-26 18:01:37
"RT @valudanna: @CW_Riverdale Bughead endgame
https://t.co/UV9nzt9CW9",False,en,0,3,2021-02-26 18:01:12
"RT @nikkkicorn: I’m missing the #bughead scenes, even just general interaction together... #Riverdale",False,en,0,7,2021-02-26 18:00:11
RT @archietonis: is this the first time since 1.01 bughead hasn’t interacted,False,en,0,8,2021-02-26 17:58:48
RT @reinhartsdreams: @CW_Riverdale okay but bughead endgame  https://t.co/R5r8b4LWp6,False,en,0,4,2021-02-26 17:58:23
@yan07452452 @touchitmaraj @lilireinhart Haha so a two year old now can write and they has social media. And I am spaming you to make you realise that bughead ships and they are true and they the ones who made the show more popular. Not barchie I am afraid. Also I don't hate barchie,False,en,0,0,2021-02-26 17:57:40
@CW_Riverdale Anyways bughead endgame https://t.co/j5mT5L0BFF,False,en,1,0,2021-02-26 17:51:20
RT @reinhartbrina: fetus betty and jughead https://t.co/9arzZJ8IJG,False,en,0,44,2021-02-26 17:50:16
"@CW_Riverdale Bughead was the best ship in ur ridiculous show, now u ruined everything https://t.co/q6vSOBsKVG",False,en,1,0,2021-02-26 17:47:58
@CW_Riverdale bughead exes to lovers when?,False,en,5,0,2021-02-26 17:44:58
@classyreinhart @Bughead_Support Can't wait 🥰🤞,False,en,0,0,2021-02-26 17:43:20
riverdale without bughead is driving me crazy 😬😬 but... so much steamy for archie &amp; betty 🤤,False,en,0,0,2021-02-26 17:38:54
@CW_Riverdale Bughead forever thank you https://t.co/vujPEpZk3b,False,en,8,0,2021-02-26 17:36:38
@CW_Riverdale Just give us back bughead already. We know it’s going to happen.,False,en,5,0,2021-02-26 17:35:43
majority of bughead’s shippers comes from people obsessed with cole sp*ouse especially locals,False,en,144,9,2021-02-26 17:34:42
@LvnaSt0rta @Bughead_Support @CW_Riverdale they look so unhappy,False,en,11,0,2021-02-26 17:34:15
@CW_Riverdale I prefer BUGHEAD !!!!!🥰🥰🥰🥰,False,en,2,0,2021-02-26 17:33:56
