tweets,quote_status,language,favorite_count,retweet_count,time,id
"RT @nabrinas: a thread of every barchie kiss 🥰
 https://t.co/H8p1UDdQdZ",False,en,0,69,2021-02-27 05:13:08,1365530382691487751
"RT @barchie_gifs: The forehead touch 🥺
[5.06 - Chapter Eighty-Two: Back To School]
@lilireinhart @RiverdaleWriter @WriterRAS
#Barchie #Rive…",False,en,0,40,2021-02-27 05:12:48,1365530301288640512
"RT @bossbex1: Betty's face when she's ""disappointed"" that Jughead's not home. #barchie https://t.co/lJfHqd8egG",False,en,0,10,2021-02-27 05:09:31,1365529473567760386
this is going to be barchie when glenn and veronica come into the picture https://t.co/TVdY5A1kEw,True,en,0,0,2021-02-27 05:09:28,1365529460213092353
being a barchie girl is a marginalized identity,False,en,0,0,2021-02-27 05:08:49,1365529297822179329
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,557,2021-02-27 05:07:56,1365529076820307969
RT @laylasblair: #BARCHIE : maybe i can distract you... *sexual tension* https://t.co/01vpucXTEN,False,en,0,36,2021-02-27 05:07:36,1365528991080189953
FORGOT THERE WAS MORE THAN ONE BARCHIE KISS IN THE EPISODE,False,en,0,0,2021-02-27 05:06:22,1365528679351205889
barchie gives me butterflies,False,en,1,0,2021-02-27 05:03:50,1365528042270060544
"@JuliDG Delena, Leyton and Barchie my otps ♥️",False,en,0,0,2021-02-27 05:03:03,1365527845255090179
"RT @barchidale: barchie got the shower scene first &gt; fast and rough
then the car scene &gt; slow and sensual
then the porch kiss and post sex…",False,en,0,23,2021-02-27 05:01:42,1365527506212646912
RT @Recap_Rewind: And yes we changed the thumbnail due to popular demand because...#Barchie,False,en,0,2,2021-02-27 05:01:14,1365527388067569664
"Are we gonna sit here pretending Agatha never appeared to buy Cheryl's paint?? @WriterRAS explain those Greendale hints and make a crossover episode with @sabrinanetflix already!!
#Riverdale #RiverdaleSeason5 #bughead #Barchie #ChillingAdventuresofSabrina",False,en,0,0,2021-02-27 05:00:32,1365527214578692096
RT @BarchieUpdates: Rachel Talalay directed the episode? And I’m getting both Barchie and Choni on march 17??? AAAAAAA https://t.co/eq3rO8F…,False,en,0,30,2021-02-27 04:58:47,1365526773782302722
RT @barcheated: How to connect this to barchie. https://t.co/J2nNYEeq3P,False,en,0,4,2021-02-27 04:58:19,1365526653674262529
i got fed so well with nabrina but my barchie experience is the polar opposite it’s just sickening,False,en,1,0,2021-02-27 04:57:54,1365526549907312640
RT @archielizabeths: barchie’s storyline is their own sorry they don’t have to talk about the 47 murder mysteries they’ve solved just so th…,False,en,0,62,2021-02-27 04:57:37,1365526480101519361
"RT @slowburnsftw: show us the barchie promotional image, i know it exists @CW_Riverdale",False,en,0,2,2021-02-27 04:57:27,1365526435201392642
teacher barchie we love you! https://t.co/YVnelaT239,False,en,3,0,2021-02-27 04:56:06,1365526097497047041
"RT @slowburnsftw: i just want to know if people fully acknowledge what they’re saying about ba. they think archie/josie, archie/valerie, ve…",False,en,0,3,2021-02-27 04:55:57,1365526060729737216
someone say barchie https://t.co/IDgczGoX3b,False,en,4,0,2021-02-27 04:54:39,1365525732919676929
RT @90BARCHIE: reasons why i ship barchie and think that they're the epic love story of riverdale; a thread https://t.co/l9zsgybTSL,False,en,0,37,2021-02-27 04:53:45,1365525507119345665
"@CW_Riverdale Deep down I needed this to happen. Bughead was the brains and cute, but Barchie felt right from the very beginning to me. I so like the fact that they are a lot more mature now, it doesn't feel rushed or forced like that scene with them holding hands at the underground hut.",False,en,0,0,2021-02-27 04:46:56,1365523789589712896
chad michael murray being a barchie https://t.co/nBLQRzzL5M,False,en,0,0,2021-02-27 04:42:00,1365522548482592768
