tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
RT @ThatsRiverdale: Best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with…,False,en,0,1,2021-03-03 01:11:39,1366919164384800770,"['best', 'part', 'abt', 'fwb', 'barchie', 'untraditional', 'sense', 'going', 'arrangement']",best part abt fwb barchie untraditional sense going arrangement
RT @barchiewalker: NO BUT HE IS LITERALLY SLIDING HIS HAND FROM HER THIGH TO HER BUTT- 😳😳👁👄👁🤯😍  #barchie FUCKING CRAZY BUT I LOVE IT https:…,False,en,0,1,2021-03-03 01:10:48,1366918949355606021,"['literally', 'sliding', 'hand', 'thigh', 'butt', 'barchie', 'fucking', 'crazy', 'love']",literally sliding hand thigh butt barchie fucking crazy love
RT @archiebstty: riverdale promoting barchie once again ❤️ https://t.co/02oN13RwBu,False,en,0,46,2021-03-03 01:08:38,1366918403026542595,"['riverdale', 'promoting', 'barchie']",riverdale promoting barchie
@barcheated @michonnesconnie barchie nace slowburn excellence mmhmm,False,en,2,0,2021-03-03 01:08:22,1366918338207711235,"['barchie', 'nace', 'slowburn', 'excellence', 'mmhmm']",barchie nace slowburn excellence mmhmm
RT @barchie247: Imagine varchie kisses and Archie pulls away and says Ronnie I love Betty- https://t.co/Qr3kd5eam8,False,en,0,1,2021-03-03 01:08:17,1366918318834126848,"['imagine', 'varchie', 'kisses', 'archie', 'pulls', 'away', 'says', 'ronnie', 'love', 'betty']",imagine varchie kisses archie pulls away says ronnie love betty
Best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with intense feelings already there!This isn’t a story about whether or not they’ll develop feelings but who will own up to them first?Or will they keep running away? https://t.co/Fii9DfSFlX,False,en,1,1,2021-03-03 01:08:05,1366918266048966658,"['best', 'part', 'abt', 'fwb', 'barchie', 'untraditional', 'sense', 'going', 'arrangement', 'intense', 'feelings', 'already', 'story', 'whether', 'develop', 'feelings', 'first', 'keep', 'running', 'away']",best part abt fwb barchie untraditional sense going arrangement intense feelings already story whether develop feelings first keep running away
I do love barchie but they’ve had more sex scene than Choni in only 2 episodes https://t.co/e27Jh66cxh,True,en,0,0,2021-03-03 01:07:25,1366918098352275462,"['love', 'barchie', 'sex', 'scene', 'choni', '2', 'episodes']",love barchie sex scene choni 2 episodes
"Ugh the way Archie was looking at Betty and the memory flashes plus the kiss.. yooo!😆🥲
#Barchie
#Riverdale https://t.co/XonSAMZcXu",False,en,0,0,2021-03-03 01:00:52,1366916451857129474,"['ugh', 'way', 'archie', 'looking', 'betty', 'memory', 'flashes', 'plus', 'kiss', 'yooo', 'barchie', 'riverdale']",ugh way archie looking betty memory flashes plus kiss yooo barchie riverdale
@jaceyskeene Giving barchie https://t.co/cVQLsADP73,False,en,1,0,2021-03-03 00:57:03,1366915491302891520,"['giving', 'barchie']",giving barchie
RT @jaceyskeene: barchie is rising and bugvarchie are bones i need y’all to understand this,False,en,0,2,2021-03-03 00:55:47,1366915170400940038,"['barchie', 'rising', 'bugvarchie', 'bones', 'need', 'understand']",barchie rising bugvarchie bones need understand
Don’t you wonder though why these major pages are so supportive? Are they trying to make people comfortable shipping them? I’ve seen reactors ask audiences not to be cancelled for their reaction! Did all ships get this social media backing? We don’t need it. #Barchie #Riverdale,False,en,0,0,2021-03-03 00:54:54,1366914948232843273,"['wonder', 'though', 'major', 'pages', 'supportive', 'trying', 'make', 'people', 'comfortable', 'shipping', 'seen', 'reactors', 'ask', 'audiences', 'cancelled', 'reaction', 'ships', 'get', 'social', 'media', 'backing', 'need', 'barchie', 'riverdale']",wonder though major pages supportive trying make people comfortable shipping seen reactors ask audiences cancelled reaction ships get social media backing need barchie riverdale
RT @ThatsRiverdale: “Barchie is just sex”ppl CHOOSING to ignore everything that happened up until season 5. Ba isn’t dating or confessing f…,False,en,0,1,2021-03-03 00:52:35,1366914363890700288,"['barchie', 'sex', 'ppl', 'choosing', 'ignore', 'everything', 'happened', 'season', '5', 'ba', 'dating', 'confessing', 'f']",barchie sex ppl choosing ignore everything happened season 5 ba dating confessing f
"“Barchie is just sex”ppl CHOOSING to ignore everything that happened up until season 5. Ba isn’t dating or confessing feelings, what exactly is being rushed?Fwb sets a steady pace bc they can be together without having to deal with the scary stuff yet, their fear of getting hurt! https://t.co/xbbzaZz17h",False,en,12,1,2021-03-03 00:52:15,1366914281514684420,"['barchie', 'sex', 'ppl', 'choosing', 'ignore', 'everything', 'happened', 'season', '5', 'ba', 'dating', 'confessing', 'feelings', 'exactly', 'rushed', 'fwb', 'sets', 'steady', 'pace', 'bc', 'together', 'without', 'deal', 'scary', 'stuff', 'yet', 'fear', 'getting', 'hurt']",barchie sex ppl choosing ignore everything happened season 5 ba dating confessing feelings exactly rushed fwb sets steady pace bc together without deal scary stuff yet fear getting hurt
RT @hcssandras: barchie had four seasons of development and over two decades of friendship before they fucked? who you calling rushed?,True,en,0,1,2021-03-03 00:51:49,1366914174408916992,"['barchie', 'four', 'seasons', 'development', 'two', 'decades', 'friendship', 'fucked', 'calling', 'rushed']",barchie four seasons development two decades friendship fucked calling rushed
