tweets,quote_status,language,favorite_count,retweet_count,time,processed_text,cleaned_tweets
"@Bughead_Support Bughead, no doubts ✨",False,en,0,0,2021-02-26 21:59:00,"['bughead', 'doubts']",bughead doubts
@Bughead_Support @BugheadUpdates Bughead💙,False,en,0,0,2021-02-26 21:55:39,['bughead'],bughead
RT @barchiesdreams: just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,False,en,0,6,2021-02-26 21:55:23,"['little', 'thread', 'worry', 'varchie', 'bughead', 'lt', '3']",little thread worry varchie bughead lt 3
They pretty much just called Barchie meaningless. Bughead fandom truly won,False,en,3,0,2021-02-26 21:55:00,"['pretty', 'much', 'called', 'barchie', 'meaningless', 'bughead', 'fandom', 'truly']",pretty much called barchie meaningless bughead fandom truly
"RT @slowburnsftw: the story of bughead is betty being in love with archie, cheating on jughead, lying to jughead, not communicating with ju…",True,en,0,2,2021-02-26 21:54:17,"['story', 'bughead', 'betty', 'love', 'archie', 'cheating', 'jughead', 'lying', 'jughead', 'communicating', 'ju']",story bughead betty love archie cheating jughead lying jughead communicating ju
RT @bonkalore: A commission of “The Hunger” #bughead I got a while back for alpcacalypseart! I had wanted to post it round halloween but th…,False,en,0,5,2021-02-26 21:53:49,"['commission', 'hunger', 'bughead', 'got', 'back', 'alpcacalypseart', 'wanted', 'post', 'round', 'halloween', 'th']",commission hunger bughead got back alpcacalypseart wanted post round halloween th
@Bughead_Support bughead,False,en,0,0,2021-02-26 21:49:21,['bughead'],bughead
"Ok.. 
i like both Barchie and Bughead🙈
#Riverdale",False,en,0,0,2021-02-26 21:48:43,"['ok', 'like', 'barchie', 'bughead', 'riverdale']",ok like barchie bughead riverdale
@CW_Riverdale I'm honestly not going waste my energy on b*rchie anymore because in the end Bughead &amp; Varchie are endgame.,False,en,0,0,2021-02-26 21:48:41,"['honestly', 'going', 'waste', 'energy', 'b', 'rchie', 'anymore', 'end', 'bughead', 'amp', 'varchie', 'endgame']",honestly going waste energy b rchie anymore end bughead amp varchie endgame
RT @BugheadUpdates: missing bughead forehead kisses #riverdale https://t.co/hPBHBuzigB,False,en,0,4,2021-02-26 21:48:36,"['missing', 'bughead', 'forehead', 'kisses', 'riverdale']",missing bughead forehead kisses riverdale
RT @BugheadUpdates: Most underrated Bughead scene? #Riverdale https://t.co/9zjR31F1qB,False,en,0,34,2021-02-26 21:48:11,"['underrated', 'bughead', 'scene', 'riverdale']",underrated bughead scene riverdale
@Bughead_Support Bughead Endgame❤,False,en,0,0,2021-02-26 21:47:45,"['bughead', 'endgame']",bughead endgame
VARCHIE AND BUGHEAD REUNIONS COMING https://t.co/Xrg74LkC0T,False,en,6,0,2021-02-26 21:47:26,"['varchie', 'bughead', 'reunions', 'coming']",varchie bughead reunions coming
RT @BUGGIEDALE: @CW_Riverdale i have a better question. where is bughead? https://t.co/3BtFgcqXdQ,False,en,0,6,2021-02-26 21:47:23,"['better', 'question', 'bughead']",better question bughead
"the story of bughead is betty being in love with archie, cheating on jughead, lying to jughead, not communicating with jughead, and then fucking archie 7 years later. that’s why bh doesn’t work and is fantasy https://t.co/SjXnh51Cg5",True,en,19,2,2021-02-26 21:46:30,"['story', 'bughead', 'betty', 'love', 'archie', 'cheating', 'jughead', 'lying', 'jughead', 'communicating', 'jughead', 'fucking', 'archie', '7', 'years', 'later', 'bh', 'work', 'fantasy']",story bughead betty love archie cheating jughead lying jughead communicating jughead fucking archie 7 years later bh work fantasy
"RT @Decy_Fanarts000: She's pregnant🤗🤗!! You can read the short story on Ao3 or Wattpad called 'Cat Reveal'🐱🐱

#bughead 
@lilireinhart 
@col…",False,en,0,14,2021-02-26 21:43:49,"['pregnant', 'read', 'short', 'story', 'ao3', 'wattpad', 'called', 'cat', 'reveal', 'bughead']",pregnant read short story ao3 wattpad called cat reveal bughead
@Bughead_Support Bughead❤️,False,en,0,0,2021-02-26 21:43:40,['bughead'],bughead
missing bughead forehead kisses #riverdale https://t.co/hPBHBuzigB,False,en,51,4,2021-02-26 21:41:29,"['missing', 'bughead', 'forehead', 'kisses', 'riverdale']",missing bughead forehead kisses riverdale
@Bughead_Support Bughead,False,en,0,0,2021-02-26 21:40:55,['bughead'],bughead
@Bughead_Support Bughead 💙💛,False,en,1,0,2021-02-26 21:39:24,['bughead'],bughead
RT @Bughead_Support: Comment Bughead if you're here until the end. Just trying to see something... #Riverdale,False,en,0,5,2021-02-26 21:38:18,"['comment', 'bughead', 'end', 'trying', 'see', 'something', 'riverdale']",comment bughead end trying see something riverdale
