tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
RT @TVLine: Was #Riverdale Snack Out of Character? Did #WandaVision Leave Loophole? Was #SVU's Stabler in Touch With Fin? What Were #Superm…,False,en,0,9,2021-02-27 15:03:41,1365678999230382082,"['riverdale', 'snack', 'character', 'wandavision', 'leave', 'loophole', 'svu', 'stabler', 'touch', 'fin', 'superm']",riverdale snack character wandavision leave loophole svu stabler touch fin superm
RT @nocontextrvd: Doritos sales after this 📈 #Riverdale,True,en,0,18,2021-02-27 09:04:04,1365588501614493698,"['doritos', 'sales', 'riverdale']",doritos sales riverdale
RT @GhostBoyXXX999: I can't believe this is Canon in the #Riverdale universe 😂 #Doritos https://t.co/ymZ0ObYs3O,False,en,0,1,2021-02-27 03:29:53,1365504398940463114,"['believe', 'canon', 'riverdale', 'universe', 'doritos']",believe canon riverdale universe doritos
"Doritos CMO: Tweettok this, instafsce that, but how do we really get our brand to appeal to the #youth?

Creative Director: Let’s have Hiram Lodge eat them in Riverdale. https://t.co/AXZRaDbchI",False,en,1,0,2021-02-27 02:38:59,1365491591041986561,"['doritos', 'cmo', 'tweettok', 'instafsce', 'really', 'get', 'brand', 'appeal', 'youth', 'creative', 'director', 'let', 'hiram', 'lodge', 'eat', 'riverdale']",doritos cmo tweettok instafsce really get brand appeal youth creative director let hiram lodge eat riverdale
RT @ArchieComics: @TVObsesssed Hiram found out that Archie loves Doritos so he bought up every bag in Riverdale and ate them just to spite…,False,en,0,3,2021-02-27 02:30:10,1365489371483430920,"['hiram', 'found', 'archie', 'loves', 'doritos', 'bought', 'every', 'bag', 'riverdale', 'ate', 'spite']",hiram found archie loves doritos bought every bag riverdale ate spite
I can't believe this is Canon in the #Riverdale universe 😂 #Doritos https://t.co/ymZ0ObYs3O,False,en,1,1,2021-02-27 02:29:42,1365489256509173760,"['believe', 'canon', 'riverdale', 'universe', 'doritos']",believe canon riverdale universe doritos
"RT @renatasnacks: I just wanna say that I think it's fucked up that Doritos exist in Riverdale, seems like they should be eatin Toditos Che…",False,en,0,2,2021-02-27 00:33:18,1365459962516930561,"['wanna', 'say', 'think', 'fucked', 'doritos', 'exist', 'riverdale', 'seems', 'like', 'eatin', 'toditos', 'che']",wanna say think fucked doritos exist riverdale seems like eatin toditos che
RT @hamandjams: Hiram Lodge for @Doritos  #Riverdale https://t.co/pjiKVTGdfV,False,en,0,2,2021-02-26 23:34:21,1365445128244973569,"['hiram', 'lodge', 'riverdale']",hiram lodge riverdale
I also want to point out from an earlier scene that Doritos must be a sponsor this season #Riverdale,False,en,0,0,2021-02-26 22:48:34,1365433605829328897,"['also', 'want', 'point', 'earlier', 'scene', 'doritos', 'must', 'sponsor', 'season', 'riverdale']",also want point earlier scene doritos must sponsor season riverdale
me when my dad buys chilli heatwave doritos : haha nice riverdale reference dad,False,en,2,0,2021-02-26 22:42:37,1365432108324450304,"['dad', 'buys', 'chilli', 'heatwave', 'doritos', 'haha', 'nice', 'riverdale', 'reference', 'dad']",dad buys chilli heatwave doritos haha nice riverdale reference dad
@cherylbloss0m i cant lie it worked i don’t even like chilli heatwave doritos but i will be eating them as a riverdale reference,False,en,0,0,2021-02-26 22:41:57,1365431937389756417,"['cant', 'lie', 'worked', 'even', 'like', 'chilli', 'heatwave', 'doritos', 'eating', 'riverdale', 'reference']",cant lie worked even like chilli heatwave doritos eating riverdale reference
Riverdale is so stupid why is Hiram Lodge eating Doritos,False,en,0,0,2021-02-26 22:22:06,1365426945970864132,"['riverdale', 'stupid', 'hiram', 'lodge', 'eating', 'doritos']",riverdale stupid hiram lodge eating doritos
"im sorry all media has to stop youll never be hiram and reggie evilly eating doritos together in riverdale season 5 episode 6: chapter eighty-two: ""back to school""",False,en,7,0,2021-02-26 22:11:54,1365424378423476224,"['im', 'sorry', 'media', 'stop', 'youll', 'never', 'hiram', 'reggie', 'evilly', 'eating', 'doritos', 'together', 'riverdale', 'season', '5', 'episode', '6', 'chapter', 'eighty', 'two', 'back', 'school']",im sorry media stop youll never hiram reggie evilly eating doritos together riverdale season 5 episode 6 chapter eighty two back school
Ok really starting to enjoy Riverdale again. Even with this goofy ass product placement of an evil crime boss enjoying his Doritos 😤 https://t.co/s2KXaVHLtQ,False,en,3,0,2021-02-26 21:55:21,1365420212829507591,"['ok', 'really', 'starting', 'enjoy', 'riverdale', 'even', 'goofy', 'ass', 'product', 'placement', 'evil', 'crime', 'boss', 'enjoying', 'doritos']",ok really starting enjoy riverdale even goofy ass product placement evil crime boss enjoying doritos
Did I just see Hiram Lodge eating Doritos? #Riverdale,False,en,0,0,2021-02-26 21:54:32,1365420005966364676,"['see', 'hiram', 'lodge', 'eating', 'doritos', 'riverdale']",see hiram lodge eating doritos riverdale
Did Riverdale Choose Odd Snack? Did WandaVision Leave Loophole? Is SVU's Fin in Touch With Stabler? And More Qs https://t.co/UACmN6OPYf https://t.co/kNACHWKjri,False,en,0,0,2021-02-26 17:39:17,1365355771396038658,"['riverdale', 'choose', 'odd', 'snack', 'wandavision', 'leave', 'loophole', 'svu', 'fin', 'touch', 'stabler', 'qs']",riverdale choose odd snack wandavision leave loophole svu fin touch stabler qs
@TVObsesssed Hiram found out that Archie loves Doritos so he bought up every bag in Riverdale and ate them just to spite his mid-20s nemesis.,False,en,5,3,2021-02-26 17:34:43,1365354621154295808,"['hiram', 'found', 'archie', 'loves', 'doritos', 'bought', 'every', 'bag', 'riverdale', 'ate', 'spite', 'mid', '20s', 'nemesis']",hiram found archie loves doritos bought every bag riverdale ate spite mid 20s nemesis
@ArchieComics Can anyone advise why actual Doritos were used and not given a fake Riverdale style name? https://t.co/eYcqTdQlee,True,en,1,0,2021-02-26 17:32:45,1365354128420073477,"['anyone', 'advise', 'actual', 'doritos', 'used', 'given', 'fake', 'riverdale', 'style', 'name']",anyone advise actual doritos used given fake riverdale style name
Dude I'm actually so bothered by the Doritos it's not even funny. Why the hell wouldn't they bless it w a fake Riverdale name like LITERALLY EVERY OTHER COMPANY THEY MENTION https://t.co/eYcqTdQlee,True,en,1,0,2021-02-26 17:32:11,1365353982978367490,"['dude', 'actually', 'bothered', 'doritos', 'even', 'funny', 'hell', 'bless', 'w', 'fake', 'riverdale', 'name', 'like', 'literally', 'every', 'company', 'mention']",dude actually bothered doritos even funny hell bless w fake riverdale name like literally every company mention
Was #Riverdale Snack Out of Character? Did #WandaVision Leave Loophole? Was #SVU's Stabler in Touch With Fin? What Were #SupermanAndLois' Kids Thinking? And Many More TV Qs! https://t.co/7WFQtYp58v,False,en,24,9,2021-02-26 17:29:37,1365353337202348035,"['riverdale', 'snack', 'character', 'wandavision', 'leave', 'loophole', 'svu', 'stabler', 'touch', 'fin', 'supermanandlois', 'kids', 'thinking', 'many', 'tv', 'qs']",riverdale snack character wandavision leave loophole svu stabler touch fin supermanandlois kids thinking many tv qs
"@r9nhyun ( renjun tahan na hug na kita )

he chuckles before retracting his hand, opening the stash which revealed various amounts of snacks, “hmm... Jeno took the pringles,,, so we have Doritos and Popcorn and Candy ! And drinks” he grins, “which one do you want?”",False,en,0,0,2021-02-26 15:19:35,1365320614483959808,"['renjun', 'tahan', 'na', 'hug', 'na', 'kita', 'chuckles', 'retracting', 'hand', 'opening', 'stash', 'revealed', 'various', 'amounts', 'snacks', 'hmm', 'jeno', 'took', 'pringles', 'doritos', 'popcorn', 'candy', 'drinks', 'grins', 'one', 'want']",renjun tahan na hug na kita chuckles retracting hand opening stash revealed various amounts snacks hmm jeno took pringles doritos popcorn candy drinks grins one want
The scene in #Riverdale where #HiramLodge is suddenly clutching and eating @Doritos made me choke with laughter. Way to embrace product placement.,False,en,0,0,2021-02-26 15:18:05,1365320236522737672,"['scene', 'riverdale', 'hiramlodge', 'suddenly', 'clutching', 'eating', 'made', 'choke', 'laughter', 'way', 'embrace', 'product', 'placement']",scene riverdale hiramlodge suddenly clutching eating made choke laughter way embrace product placement
"Also it makes no sense for Hiram Lodge to be eating the Doritos. Jughead should eat the Doritos in his survival bunker by lamplight. wait UNLESS....Doritos DON'T exist in Riverdale and they ONLY exist in Sodale, the property development Hiram is building to destroy Riverdale! https://t.co/v4VAVvGpus",False,en,3,0,2021-02-26 15:00:55,1365315916700016645,"['also', 'makes', 'sense', 'hiram', 'lodge', 'eating', 'doritos', 'jughead', 'eat', 'doritos', 'survival', 'bunker', 'lamplight', 'wait', 'unless', 'doritos', 'exist', 'riverdale', 'exist', 'sodale', 'property', 'development', 'hiram', 'building', 'destroy', 'riverdale']",also makes sense hiram lodge eating doritos jughead eat doritos survival bunker lamplight wait unless doritos exist riverdale exist sodale property development hiram building destroy riverdale
"I just wanna say that I think it's fucked up that Doritos exist in Riverdale, seems like they should be eatin Toditos Cheese Triangles that they bought with their American Excess cards at the vending machine outside of 23 Hour Fitness https://t.co/tUKhhTeTDg",False,en,29,2,2021-02-26 14:58:28,1365315301735284739,"['wanna', 'say', 'think', 'fucked', 'doritos', 'exist', 'riverdale', 'seems', 'like', 'eatin', 'toditos', 'cheese', 'triangles', 'bought', 'american', 'excess', 'cards', 'vending', 'machine', 'outside', '23', 'hour', 'fitness']",wanna say think fucked doritos exist riverdale seems like eatin toditos cheese triangles bought american excess cards vending machine outside 23 hour fitness
somehow that product placement with hiriam lodge eating doritos is one of the weirdest thing to happen in riverdale,False,en,0,0,2021-02-26 14:36:24,1365309748392980484,"['somehow', 'product', 'placement', 'hiriam', 'lodge', 'eating', 'doritos', 'one', 'weirdest', 'thing', 'happen', 'riverdale']",somehow product placement hiriam lodge eating doritos one weirdest thing happen riverdale
RT @BrianEPaterson: Watching #Riverdale 5x06. Why do I suddenly have the urge to house a bag of nacho cheese Doritos? https://t.co/OZG3WBQf…,False,en,0,8,2021-02-26 14:04:54,1365301817916194828,"['watching', 'riverdale', '5x06', 'suddenly', 'urge', 'house', 'bag', 'nacho', 'cheese', 'doritos']",watching riverdale 5x06 suddenly urge house bag nacho cheese doritos
"here's what happened in episode 6 of riverdale :
there is a doritos ad in the middle of the show
betty and archie are doing ""the titanic""
last but not least, jughead thinks that maybe there is an alien in riverdale, like real alien with spaceship",False,en,0,0,2021-02-26 10:08:17,1365242274519543808,"['happened', 'episode', '6', 'riverdale', 'doritos', 'ad', 'middle', 'show', 'betty', 'archie', 'titanic', 'last', 'least', 'jughead', 'thinks', 'maybe', 'alien', 'riverdale', 'like', 'real', 'alien', 'spaceship']",happened episode 6 riverdale doritos ad middle show betty archie titanic last least jughead thinks maybe alien riverdale like real alien spaceship
RT @Catherin3Kovach: Today I learned that Hiram Lodge eats Doritos. #Riverdale,False,en,0,2,2021-02-26 09:50:57,1365237908857364481,"['today', 'learned', 'hiram', 'lodge', 'eats', 'doritos', 'riverdale']",today learned hiram lodge eats doritos riverdale
"#Riverdale has teachers struggling (ish), drugs, Doritos, karaoke, a crazy Winchester woman building a house to keep demons at bay, and a military inspired football plot line. I mean.....",False,en,0,0,2021-02-26 09:23:49,1365231081885077506,"['riverdale', 'teachers', 'struggling', 'ish', 'drugs', 'doritos', 'karaoke', 'crazy', 'winchester', 'woman', 'building', 'house', 'keep', 'demons', 'bay', 'military', 'inspired', 'football', 'plot', 'line', 'mean']",riverdale teachers struggling ish drugs doritos karaoke crazy winchester woman building house keep demons bay military inspired football plot line mean
riverdale product placement is always weird because like EVERYTHING has some made up name but then there’s just bumble the app and doritos. like they even made a fake craigslist even though like craigslist is not buying product placement https://t.co/Q0McI13mEF,True,en,4,0,2021-02-26 06:41:14,1365190166747340806,"['riverdale', 'product', 'placement', 'always', 'weird', 'like', 'everything', 'made', 'name', 'bumble', 'app', 'doritos', 'like', 'even', 'made', 'fake', 'craigslist', 'even', 'though', 'like', 'craigslist', 'buying', 'product', 'placement']",riverdale product placement always weird like everything made name bumble app doritos like even made fake craigslist even though like craigslist buying product placement
"what is this doritos product placement?  are they about to be the old navy rockstar jeans of this season?!! 

#Riverdale",False,en,2,0,2021-02-26 06:32:00,1365187842318741505,"['doritos', 'product', 'placement', 'old', 'navy', 'rockstar', 'jeans', 'season', 'riverdale']",doritos product placement old navy rockstar jeans season riverdale
i’m tryna watch riverdale for the sake of nostalgia but they just had a  character do a doritos ad mid episode so maybe not,False,en,1,0,2021-02-26 06:08:22,1365181894296547328,"['tryna', 'watch', 'riverdale', 'sake', 'nostalgia', 'character', 'doritos', 'ad', 'mid', 'episode', 'maybe']",tryna watch riverdale sake nostalgia character doritos ad mid episode maybe
"""a highschool offers hope"" 
- Riverdale Doritos Commercial",False,en,3,0,2021-02-26 05:51:41,1365177697501085696,"['highschool', 'offers', 'hope', 'riverdale', 'doritos', 'commercial']",highschool offers hope riverdale doritos commercial
RT @iWatchiAm: Riverdale brought to you by Doritos. Truly inspired. https://t.co/lFOTUMY7mn,False,en,0,17,2021-02-26 04:57:21,1365164025588318209,"['riverdale', 'brought', 'doritos', 'truly', 'inspired']",riverdale brought doritos truly inspired
Watching #Riverdale 5x06. Why do I suddenly have the urge to house a bag of nacho cheese Doritos? https://t.co/OZG3WBQfQm,False,en,103,8,2021-02-26 04:40:30,1365159785566412802,"['watching', 'riverdale', '5x06', 'suddenly', 'urge', 'house', 'bag', 'nacho', 'cheese', 'doritos']",watching riverdale 5x06 suddenly urge house bag nacho cheese doritos
"RT @bettyfelon: After a seven-year time jump on Riverdale, FBI agent Betty Cooper is working on the Trash Bag Killer case (aka the TBK), st…",False,en,0,2,2021-02-26 02:06:26,1365121012514385925,"['seven', 'year', 'time', 'jump', 'riverdale', 'fbi', 'agent', 'betty', 'cooper', 'working', 'trash', 'bag', 'killer', 'case', 'aka', 'tbk', 'st']",seven year time jump riverdale fbi agent betty cooper working trash bag killer case aka tbk st
"After a seven-year time jump on Riverdale, FBI agent Betty Cooper is working on the Trash Bag Killer case (aka the TBK), struggling novelist Jughead is looking for the Mothman, and mayor Hiram Lodge is running the entire town into the ground while enjoying some Doritos. https://t.co/Mo7X1q6Fel",False,en,27,2,2021-02-26 01:56:54,1365118613288534019,"['seven', 'year', 'time', 'jump', 'riverdale', 'fbi', 'agent', 'betty', 'cooper', 'working', 'trash', 'bag', 'killer', 'case', 'aka', 'tbk', 'struggling', 'novelist', 'jughead', 'looking', 'mothman', 'mayor', 'hiram', 'lodge', 'running', 'entire', 'town', 'ground', 'enjoying', 'doritos']",seven year time jump riverdale fbi agent betty cooper working trash bag killer case aka tbk struggling novelist jughead looking mothman mayor hiram lodge running entire town ground enjoying doritos
Hiram Lodge for @Doritos  #Riverdale https://t.co/pjiKVTGdfV,False,en,3,2,2021-02-26 01:39:07,1365114138830270465,"['hiram', 'lodge', 'riverdale']",hiram lodge riverdale
Hiram Lodge eating Doritos is the most meta thing I’ve ever seen. #Riverdale,False,en,3,0,2021-02-26 01:18:12,1365108872684462086,"['hiram', 'lodge', 'eating', 'doritos', 'meta', 'thing', 'ever', 'seen', 'riverdale']",hiram lodge eating doritos meta thing ever seen riverdale
I’m sorry but what was this about? It really looked like a Doritos sponsorship #Riverdale https://t.co/RfiuITn58K,False,en,2,0,2021-02-26 01:14:37,1365107971504529408,"['sorry', 'really', 'looked', 'like', 'doritos', 'sponsorship', 'riverdale']",sorry really looked like doritos sponsorship riverdale
Okay Hiriam might be a bad man but he loves @Doritos specifically Nacho Cheese! #Riverdale,False,en,0,0,2021-02-26 00:48:52,1365101491334352903,"['okay', 'hiriam', 'might', 'bad', 'man', 'loves', 'specifically', 'nacho', 'cheese', 'riverdale']",okay hiriam might bad man loves specifically nacho cheese riverdale
Is this a commercial for Doritos or an episode of Riverdale? Because this is doing a better job making me want Doritos than it is at making me care about whatever the new storyline in this show is.,False,en,1,0,2021-02-26 00:37:03,1365098518533333000,"['commercial', 'doritos', 'episode', 'riverdale', 'better', 'job', 'making', 'want', 'doritos', 'making', 'care', 'whatever', 'new', 'storyline', 'show']",commercial doritos episode riverdale better job making want doritos making care whatever new storyline show
The product placement of Hiram Lodge eating Doritos loool #Riverdale,False,en,4,0,2021-02-26 00:14:07,1365092745078054912,"['product', 'placement', 'hiram', 'lodge', 'eating', 'doritos', 'loool', 'riverdale']",product placement hiram lodge eating doritos loool riverdale
"this wasn’t a riverdale scene, it was a doritos ad https://t.co/DaPoUbKUtP",False,en,2,0,2021-02-26 00:07:54,1365091180438949888,"['riverdale', 'scene', 'doritos', 'ad']",riverdale scene doritos ad
Mark Consuelos eating Doritos on #Riverdale is my new favorite TV moment. https://t.co/jFbnMHdqc3,True,en,0,0,2021-02-25 23:29:38,1365081550203850757,"['mark', 'consuelos', 'eating', 'doritos', 'riverdale', 'new', 'favorite', 'tv', 'moment']",mark consuelos eating doritos riverdale new favorite tv moment
@Doritos @CW_Riverdale @MarkConsuelos - sneaky little paid promo?👀 https://t.co/gxjJhIMaMt,False,en,0,0,2021-02-25 22:55:06,1365072861950525450,"['sneaky', 'little', 'paid', 'promo']",sneaky little paid promo
"@Frubunny ITS REAL, HIM AND REGGIE ARE EATING RIVERDALE SUBWAY AND THE FUCIGNFGNDS DORITOS I",False,en,1,0,2021-02-25 22:49:12,1365071375103365130,"['real', 'reggie', 'eating', 'riverdale', 'subway', 'fucignfgnds', 'doritos']",real reggie eating riverdale subway fucignfgnds doritos
Wow...I wonder why I am suddenly craving Doritos 🥲 #productplacement #riverdale https://t.co/AG114qIDDx,False,en,1,0,2021-02-25 22:34:06,1365067576607342595,"['wow', 'wonder', 'suddenly', 'craving', 'doritos', 'productplacement', 'riverdale']",wow wonder suddenly craving doritos productplacement riverdale
@FrailMary @kirstensaidwhat Do we do a paid product placement watch? Because I just want it noted how obvious that Doritos product placement was. #Riverdale,False,en,2,0,2021-02-25 21:27:36,1365050842773032960,"['paid', 'product', 'placement', 'watch', 'want', 'noted', 'obvious', 'doritos', 'product', 'placement', 'riverdale']",paid product placement watch want noted obvious doritos product placement riverdale
Anyone else notice the obvious product placement for @Doritos in @CW_Riverdale tonight? #evident #productplacement #slapintheface,False,en,0,0,2021-02-25 21:09:35,1365046307170222081,"['anyone', 'else', 'notice', 'obvious', 'product', 'placement', 'tonight', 'evident', 'productplacement', 'slapintheface']",anyone else notice obvious product placement tonight evident productplacement slapintheface
