tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,rating_pos,rating_neu,rating_neg,processed_text,cleaned_tweets
RT @softfalice: melissa and joey moments that radiate falice energy — a thread 🌼 https://t.co/XTVx1SndMk,FALSE,en,0,5,2/27/2021 5:47,1.36554E+18,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}",1,,,"['melissa', 'joey', 'moments', 'radiate', 'falice', 'energy', 'thread']",melissa joey moments radiate falice energy thread
"@mishacollins
 lets sue the Riverdale writers and give a barchie , falice , choni endgame",FALSE,en,0,0,2/27/2021 5:31,1.36554E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.4,0.6,"['lets', 'sue', 'riverdale', 'writers', 'give', 'barchie', 'falice', 'choni', 'endgame']",lets sue riverdale writers give barchie falice choni endgame
"@mishacollins lets sue the Riverdale writers and give a barchie , falice , chino endgame",FALSE,en,0,0,2/27/2021 5:31,1.36554E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,0.4,0.6,"['lets', 'sue', 'riverdale', 'writers', 'give', 'barchie', 'falice', 'chino', 'endgame']",lets sue riverdale writers give barchie falice chino endgame
"The pinky TEASE, I miss season 2 falice https://t.co/U33yKgO7gl",TRUE,en,4,0,2/27/2021 4:10,1.36551E+18,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.5622}",0.75,,0.25,"['pinky', 'tease', 'miss', 'season', '2', 'falice']",pinky tease miss season 2 falice
RT @amicksbabe: I want fp’s letter @RiverdaleWriter,FALSE,en,0,5,2/27/2021 3:58,1.36551E+18,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}",0.9,,0.1,"['want', 'fp', 'letter']",want fp letter
hey besties vote barchie pambrose nabrina rozharvey the only archieverse ships that matter !!! choni and falice can have some love too but barchiepambrose!!!!! https://t.co/SIBU040o0F,TRUE,en,1,0,2/27/2021 1:50,1.36548E+18,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.5883}",0.5,0.5,,"['hey', 'besties', 'vote', 'barchie', 'pambrose', 'nabrina', 'rozharvey', 'archieverse', 'ships', 'matter', 'choni', 'falice', 'love', 'barchiepambrose']",hey besties vote barchie pambrose nabrina rozharvey archieverse ships matter choni falice love barchiepambrose
"RT @barchanted: I will be voting for Barchie, Choni, and Falice. Who's with me? 😇",TRUE,en,0,1,2/27/2021 1:31,1.36547E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5,,"['voting', 'barchie', 'choni', 'falice']",voting barchie choni falice
"I will be voting for Barchie, Choni, and Falice. Who's with me? 😇 https://t.co/0k9pxUUjWA",TRUE,en,9,1,2/27/2021 0:04,1.36545E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5,,"['voting', 'barchie', 'choni', 'falice']",voting barchie choni falice
@CW_Riverdale The question is where are the falice deleted scenes????,FALSE,en,0,0,2/26/2021 22:21,1.36543E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5,,"['question', 'falice', 'deleted', 'scenes']",question falice deleted scenes
@CW_Riverdale where are the falice deleted scenes? that is the real question,FALSE,en,6,0,2/26/2021 21:12,1.36541E+18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.5,0.5,,"['falice', 'deleted', 'scenes', 'real', 'question']",falice deleted scenes real question
