tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
/ fuck straight ships JARCHIE all the way.,False,en,3,0,2021-02-27 04:41:40,1365522464772603904,"['fuck', 'straight', 'ships', 'jarchie', 'way']",fuck straight ships jarchie way
"y’all i don’t hate jarchie i think they have potential and i think jughead’s had feelings for archie. but my god... some of their shippers pissed me off so bad, like why do y’all sound like bugheads you’re supposed to be smarter https://t.co/K60rfnKaip",False,en,2,0,2021-02-27 04:28:26,1365519132758847489,"['hate', 'jarchie', 'think', 'potential', 'think', 'jughead', 'feelings', 'archie', 'god', 'shippers', 'pissed', 'bad', 'like', 'sound', 'like', 'bugheads', 'supposed', 'smarter']",hate jarchie think potential think jughead feelings archie god shippers pissed bad like sound like bugheads supposed smarter
"@EPoe187 I think ""power"" is the underlying factor. In some societies wealth and power are interchangeable. In others there is power money can't buy (family). And in all there are powers that are innate: beauty, intelligence, or other inborn attributes.",False,en,1,0,2021-02-27 01:37:49,1365476197400866819,"['think', 'power', 'underlying', 'factor', 'societies', 'wealth', 'power', 'interchangeable', 'others', 'power', 'money', 'buy', 'family', 'powers', 'innate', 'beauty', 'intelligence', 'inborn', 'attributes']",think power underlying factor societies wealth power interchangeable others power money buy family powers innate beauty intelligence inborn attributes
@chonistan420 @chonifag omg when i come visit and we role play jarchie in a perfect location omg so excited,False,en,2,0,2021-02-27 01:12:36,1365469850500550658,"['omg', 'come', 'visit', 'role', 'play', 'jarchie', 'perfect', 'location', 'omg', 'excited']",omg come visit role play jarchie perfect location omg excited
RT @bugverchoni: jarchie riding bikes. that’s all. https://t.co/fSRQzyxTm4,False,en,0,28,2021-02-27 00:23:46,1365457561034641412,"['jarchie', 'riding', 'bikes']",jarchie riding bikes
@riverindale listen choni swangs jarchie triple wedding tho 😭😭😭😭,False,en,3,0,2021-02-26 23:34:47,1365445236781166594,"['listen', 'choni', 'swangs', 'jarchie', 'triple', 'wedding', 'tho']",listen choni swangs jarchie triple wedding tho
"@EPoe187 @BadHombreMarcoB And unnecessary. Why not ""Hey, we're not sure what measure of protection is provided by masks yet, but we have a PPE shortage and need to come together to make those available to healthcare workers and the elderly/vulnerable until the supply crunch is addressed. ""?",False,en,0,0,2021-02-26 23:30:12,1365444080793047043,"['unnecessary', 'hey', 'sure', 'measure', 'protection', 'provided', 'masks', 'yet', 'ppe', 'shortage', 'need', 'come', 'together', 'make', 'available', 'healthcare', 'workers', 'elderly', 'vulnerable', 'supply', 'crunch', 'addressed']",unnecessary hey sure measure protection provided masks yet ppe shortage need come together make available healthcare workers elderly vulnerable supply crunch addressed
@ChrchCurmudgeon This is the quality content I come to this website for!,False,en,0,0,2021-02-26 23:27:59,1365443522078208003,"['quality', 'content', 'come', 'website']",quality content come website
@nymonologue s1 was great for jarchie but i was toni deprived so,False,en,1,0,2021-02-26 23:16:25,1365440613714427910,"['s1', 'great', 'jarchie', 'toni', 'deprived']",s1 great jarchie toni deprived
@aphclicn BC I SAID JARCHIE COULD DO CHILDHOOD FRIENDS TO LOVERS BETTER THAN BARCHIE AND BARCHIES WENT CRAZY 😭 sorry guys betty might be having sex w/ archie but jughead literally lived in archie's house all alone with no gas or electricity bc it was the only place that felt like home ..,False,en,1,0,2021-02-26 20:57:48,1365405730677923840,"['bc', 'said', 'jarchie', 'could', 'childhood', 'friends', 'lovers', 'better', 'barchie', 'barchies', 'went', 'crazy', 'sorry', 'guys', 'betty', 'might', 'sex', 'w', 'archie', 'jughead', 'literally', 'lived', 'archie', 'house', 'alone', 'gas', 'electricity', 'bc', 'place', 'felt', 'like', 'home']",bc said jarchie could childhood friends lovers better barchie barchies went crazy sorry guys betty might sex w archie jughead literally lived archie house alone gas electricity bc place felt like home
yes i was a jarchie and beronica shipper and what about it,False,en,1,0,2021-02-26 20:53:03,1365404535074643968,"['yes', 'jarchie', 'beronica', 'shipper']",yes jarchie beronica shipper
@nymonologue BHS WISH THEY HAD SOMETHING AS GOOD FOR THEIR SHIP AS ENDURING YET MORE COMPLEX LIKE JUST ADMIT Y’ALL WILL NEVER AMOUNT TO JARCHIE’S RELATIONSHIP AND LEAVE!!!,False,en,1,0,2021-02-26 19:54:37,1365389829035360257,"['bhs', 'wish', 'something', 'good', 'ship', 'enduring', 'yet', 'complex', 'like', 'admit', 'never', 'amount', 'jarchie', 'relationship', 'leave']",bhs wish something good ship enduring yet complex like admit never amount jarchie relationship leave
@swangsnation the set designer is a jarchie love it here,False,en,3,0,2021-02-26 18:57:54,1365375553524674573,"['set', 'designer', 'jarchie', 'love']",set designer jarchie love
@TABlTHATATE this is JARCHIE,False,en,0,0,2021-02-26 18:39:58,1365371043620089857,['jarchie'],jarchie
@archiesbettyy I read jarchie for a moment and spilled my coffee 😂,False,en,0,0,2021-02-26 17:58:22,1365360575367188480,"['read', 'jarchie', 'moment', 'spilled', 'coffee']",read jarchie moment spilled coffee
oh jarchie love story we're really in it now........,False,en,2,0,2021-02-26 16:59:45,1365345822678913025,"['oh', 'jarchie', 'love', 'story', 'really']",oh jarchie love story really
god damn it. I AM SUCH A JARCHIE STAN https://t.co/Rj8E9FCCtu,False,en,2,0,2021-02-26 16:16:03,1365334822487543812,"['god', 'damn', 'jarchie', 'stan']",god damn jarchie stan
jarchie endgame confirmed??? https://t.co/sg4bO8yUOH,False,en,1,0,2021-02-26 15:55:11,1365329572951175168,"['jarchie', 'endgame', 'confirmed']",jarchie endgame confirmed
@bugverchoni OMG U R JARCHIE ??,False,en,0,0,2021-02-26 15:21:55,1365321201799806976,"['omg', 'u', 'r', 'jarchie']",omg u r jarchie
"RT @kat__writes: #Varchie? #Barchie? #Tabihead (Or is it #Jugitha?)? 

Where #Riverdale romance will go, no one knows, but I’m still reelin…",False,en,0,6,2021-02-26 14:45:56,1365312146846982146,"['varchie', 'barchie', 'tabihead', 'jugitha', 'riverdale', 'romance', 'go', 'one', 'knows', 'still', 'reelin']",varchie barchie tabihead jugitha riverdale romance go one knows still reelin
"@jugxc and i didnt need it esp when u comment on all of my jarchie tweets , run along now",False,en,1,0,2021-02-26 14:23:35,1365306521039613955,"['didnt', 'need', 'esp', 'u', 'comment', 'jarchie', 'tweets', 'run', 'along']",didnt need esp u comment jarchie tweets run along
See Jarchie endgame🕺🏻 https://t.co/kzRB8314YH,False,en,0,0,2021-02-26 14:01:47,1365301033333841931,"['see', 'jarchie', 'endgame']",see jarchie endgame
they said ****jarchie endgame 😐,False,en,0,0,2021-02-26 11:20:18,1365260396333068288,"['said', 'jarchie', 'endgame']",said jarchie endgame
@tyreseee_ riverdale is a great show if u watch it the right way [ jarchie long con and sexy women ] wandavision is a great show if u watch it the right way [ kathryn hahn ],False,en,0,0,2021-02-26 08:01:13,1365210295526809600,"['riverdale', 'great', 'show', 'u', 'watch', 'right', 'way', 'jarchie', 'long', 'con', 'sexy', 'women', 'wandavision', 'great', 'show', 'u', 'watch', 'right', 'way', 'kathryn', 'hahn']",riverdale great show u watch right way jarchie long con sexy women wandavision great show u watch right way kathryn hahn
swangs and jarchie and robron ping ponging around in my brain 🧠,False,en,5,0,2021-02-26 07:02:21,1365195480943198213,"['swangs', 'jarchie', 'robron', 'ping', 'ponging', 'around', 'brain']",swangs jarchie robron ping ponging around brain
#Jarchie in an empty house works tho. Like a lot.,False,en,0,0,2021-02-26 06:25:14,1365186138584076289,"['jarchie', 'empty', 'house', 'works', 'tho', 'like', 'lot']",jarchie empty house works tho like lot
gladys maior shipper de jarchie,False,en,0,0,2021-02-26 04:50:27,1365162287498166273,"['gladys', 'maior', 'shipper', 'de', 'jarchie']",gladys maior shipper de jarchie
RT @lilisjacey: jarchie roommates lasted a total of 1 episode this is so sad,False,en,0,3,2021-02-26 04:45:25,1365161019631407106,"['jarchie', 'roommates', 'lasted', 'total', '1', 'episode', 'sad']",jarchie roommates lasted total 1 episode sad
