tweets,quote_status,language,favorite_count,retweet_count,time,id
RT @liberianlois: DSW please mind ur business when it comes to ur BLK KANGS you’re literally their last preference.,False,en,0,45,2021-02-27 15:43:12,1365688944189452291
no cause if choni &amp; kangs had a joint wedding u will never see me again i hate kangs the same way i hate klaine don’t freaking play with me i deserved my koose &amp; blam endgames along with brittana having their own wedding,False,en,0,0,2021-02-27 15:29:35,1365685519162642434
"RT @small_kebab: Jotaro, The God of War 🩸🗡

#JotaroKujo #jotaro #JJBA #jojosbizarreadventure https://t.co/PznVOHFD1K",False,en,0,27,2021-02-27 15:23:05,1365683884487290882
@RewindNV Fujin should have Liu Kangs spot,False,en,2,0,2021-02-27 15:06:35,1365679730037579777
Umays,False,en,0,0,2021-02-27 15:01:04,1365678341060063233
wait I just realized it also says Kangs makes a big decision about their future? Kangs adopting Toni’s baby exactly!!! https://t.co/qZAjTPWIul,True,en,3,0,2021-02-27 14:47:36,1365674952654004225
@ReduxTapes Black Americans obsession with stealing Egyptian achievement is hilarious because we all know these mummies weren't kangs. https://t.co/XOiQpMCFqg,False,en,0,0,2021-02-27 14:38:37,1365672693836574727
"RT @StickboyBangkok: No skateboard, no problem https://t.co/P5Yx7ypzAt",False,en,0,6592,2021-02-27 14:34:20,1365671615598485510
RT @pwtwords: Cave in Thailand looks like a giant petrified snake https://t.co/FzM2MiTSok,False,en,0,3756,2021-02-27 14:33:54,1365671505242152961
"RT @MiraclewithHSW: Knock Knock! 
  Welcome Let’s enjoy  HanSeungwoo Day’s
🎄13-14 March 2021
☾MiracleWithHSW 
-Cafe and Mini Gallery -
☽At…",False,en,0,108,2021-02-27 14:31:52,1365670994120110083
RT @Grae__: Black kangs built this league,True,en,0,3,2021-02-27 14:08:11,1365665031866769411
Black kangs built this league https://t.co/bzVB4ZVJFz,True,en,3,3,2021-02-27 14:06:50,1365664694153998341
She has taken upon herself to defend all the douchebags in the world. Well it takes a stupid to know one. And Kangs is top of the line quality stupid. As delusional as they come https://t.co/GirPwGSFWk,True,en,0,0,2021-02-27 13:02:38,1365648537137016836
RT @tonistopazz: when riverdale pulls a glee and has choni &amp; kangs have a joint wedding 🤩🤩🤩🤩,False,en,0,8,2021-02-27 12:25:20,1365639151471767552
"Swangs -epic and sexy as hell 
Kangs- someone is trying to sell me a Subaru at pride event  but they took all the chairs and wheels",False,en,0,0,2021-02-27 12:03:49,1365633735606099976
"RT @RiverdaleUnite: I love the look of their apartment! 😍
#Riverdale #RiverdaleSeason5 #Kangs #Choni https://t.co/xLIhwdH3kg",False,en,0,1,2021-02-27 11:55:45,1365631706330525696
"@RiverdaleDark Why  can’t kangs split up already we are so tired of them like seriously the majority never wanted kangs to happen , bring back Moose and make swangs canon",False,en,0,0,2021-02-27 11:33:30,1365626108360724482
So good beating the kangs. Hoops capital is Melbourne baby!! @MelbUnitedHQ 💪💪#NBL21,False,en,3,0,2021-02-27 11:08:52,1365619906708791299
Why are this matatu mixes so fire..,False,en,0,0,2021-02-27 10:07:36,1365604489366032384
"@marigold3007 @Tigress2020 @kamaalrkhan Hmm. I see your stand about d.s., as I mentioned earlier.
However, unlike Kangs and her fangs, I prefer to believe that an eye for an eye will make the whole world blind. It's counter-productive.

Don't you see how mad she gets when she's ignored?☺She revels in mud-slinging.",False,en,0,0,2021-02-27 09:55:33,1365601455177035776
"""we wuz kangs""😂😂😂😂😂😂😂😂😂 https://t.co/mYINhzyAga",True,en,0,0,2021-02-27 09:51:47,1365600510213058563
RT @allkpop: Fans amazed by the striking resemblance between the webtoon and new poster for Song Kang's new drama 'Navillera' https://t.co/…,False,en,0,148,2021-02-27 08:09:35,1365574787133673478
@cherylstopaaz @geritisfanfic Thinking about kangs being in the other room looking surprised 💀,False,en,1,0,2021-02-27 07:06:00,1365558788422565888
Seeing blacks using KANGS memes is really funny https://t.co/VAOAHXHG4V,True,en,6,0,2021-02-27 07:03:34,1365558175991177216
