tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
RT @liberianlois: DSW please mind ur business when it comes to ur BLK KANGS you’re literally their last preference.,False,en,0,45,2021-02-27 15:43:12,1365688944189452291,"['dsw', 'please', 'mind', 'ur', 'business', 'comes', 'ur', 'blk', 'kangs', 'literally', 'last', 'preference']",dsw please mind ur business comes ur blk kangs literally last preference
no cause if choni &amp; kangs had a joint wedding u will never see me again i hate kangs the same way i hate klaine don’t freaking play with me i deserved my koose &amp; blam endgames along with brittana having their own wedding,False,en,0,0,2021-02-27 15:29:35,1365685519162642434,"['cause', 'choni', 'amp', 'kangs', 'joint', 'wedding', 'u', 'never', 'see', 'hate', 'kangs', 'way', 'hate', 'klaine', 'freaking', 'play', 'deserved', 'koose', 'amp', 'blam', 'endgames', 'along', 'brittana', 'wedding']",cause choni amp kangs joint wedding u never see hate kangs way hate klaine freaking play deserved koose amp blam endgames along brittana wedding
"RT @small_kebab: Jotaro, The God of War 🩸🗡

#JotaroKujo #jotaro #JJBA #jojosbizarreadventure https://t.co/PznVOHFD1K",False,en,0,27,2021-02-27 15:23:05,1365683884487290882,"['jotaro', 'god', 'war', 'jotarokujo', 'jotaro', 'jjba', 'jojosbizarreadventure']",jotaro god war jotarokujo jotaro jjba jojosbizarreadventure
@RewindNV Fujin should have Liu Kangs spot,False,en,2,0,2021-02-27 15:06:35,1365679730037579777,"['fujin', 'liu', 'kangs', 'spot']",fujin liu kangs spot
Umays,False,en,0,0,2021-02-27 15:01:04,1365678341060063233,['umays'],umays
wait I just realized it also says Kangs makes a big decision about their future? Kangs adopting Toni’s baby exactly!!! https://t.co/qZAjTPWIul,True,en,3,0,2021-02-27 14:47:36,1365674952654004225,"['wait', 'realized', 'also', 'says', 'kangs', 'makes', 'big', 'decision', 'future', 'kangs', 'adopting', 'toni', 'baby', 'exactly']",wait realized also says kangs makes big decision future kangs adopting toni baby exactly
@ReduxTapes Black Americans obsession with stealing Egyptian achievement is hilarious because we all know these mummies weren't kangs. https://t.co/XOiQpMCFqg,False,en,0,0,2021-02-27 14:38:37,1365672693836574727,"['black', 'americans', 'obsession', 'stealing', 'egyptian', 'achievement', 'hilarious', 'know', 'mummies', 'kangs']",black americans obsession stealing egyptian achievement hilarious know mummies kangs
"RT @StickboyBangkok: No skateboard, no problem https://t.co/P5Yx7ypzAt",False,en,0,6592,2021-02-27 14:34:20,1365671615598485510,"['skateboard', 'problem']",skateboard problem
RT @pwtwords: Cave in Thailand looks like a giant petrified snake https://t.co/FzM2MiTSok,False,en,0,3756,2021-02-27 14:33:54,1365671505242152961,"['cave', 'thailand', 'looks', 'like', 'giant', 'petrified', 'snake']",cave thailand looks like giant petrified snake
"RT @MiraclewithHSW: Knock Knock! 
  Welcome Let’s enjoy  HanSeungwoo Day’s
🎄13-14 March 2021
☾MiracleWithHSW 
-Cafe and Mini Gallery -
☽At…",False,en,0,108,2021-02-27 14:31:52,1365670994120110083,"['knock', 'knock', 'welcome', 'let', 'enjoy', 'hanseungwoo', 'day', '13', '14', 'march', '2021', 'miraclewithhsw', 'cafe', 'mini', 'gallery']",knock knock welcome let enjoy hanseungwoo day 13 14 march 2021 miraclewithhsw cafe mini gallery
RT @Grae__: Black kangs built this league,True,en,0,3,2021-02-27 14:08:11,1365665031866769411,"['black', 'kangs', 'built', 'league']",black kangs built league
Black kangs built this league https://t.co/bzVB4ZVJFz,True,en,3,3,2021-02-27 14:06:50,1365664694153998341,"['black', 'kangs', 'built', 'league']",black kangs built league
She has taken upon herself to defend all the douchebags in the world. Well it takes a stupid to know one. And Kangs is top of the line quality stupid. As delusional as they come https://t.co/GirPwGSFWk,True,en,0,0,2021-02-27 13:02:38,1365648537137016836,"['taken', 'upon', 'defend', 'douchebags', 'world', 'well', 'takes', 'stupid', 'know', 'one', 'kangs', 'top', 'line', 'quality', 'stupid', 'delusional', 'come']",taken upon defend douchebags world well takes stupid know one kangs top line quality stupid delusional come
RT @tonistopazz: when riverdale pulls a glee and has choni &amp; kangs have a joint wedding 🤩🤩🤩🤩,False,en,0,8,2021-02-27 12:25:20,1365639151471767552,"['riverdale', 'pulls', 'glee', 'choni', 'amp', 'kangs', 'joint', 'wedding']",riverdale pulls glee choni amp kangs joint wedding
"Swangs -epic and sexy as hell 
Kangs- someone is trying to sell me a Subaru at pride event  but they took all the chairs and wheels",False,en,0,0,2021-02-27 12:03:49,1365633735606099976,"['swangs', 'epic', 'sexy', 'hell', 'kangs', 'someone', 'trying', 'sell', 'subaru', 'pride', 'event', 'took', 'chairs', 'wheels']",swangs epic sexy hell kangs someone trying sell subaru pride event took chairs wheels
"RT @RiverdaleUnite: I love the look of their apartment! 😍
#Riverdale #RiverdaleSeason5 #Kangs #Choni https://t.co/xLIhwdH3kg",False,en,0,1,2021-02-27 11:55:45,1365631706330525696,"['love', 'look', 'apartment', 'riverdale', 'riverdaleseason5', 'kangs', 'choni']",love look apartment riverdale riverdaleseason5 kangs choni
"@RiverdaleDark Why  can’t kangs split up already we are so tired of them like seriously the majority never wanted kangs to happen , bring back Moose and make swangs canon",False,en,0,0,2021-02-27 11:33:30,1365626108360724482,"['kangs', 'split', 'already', 'tired', 'like', 'seriously', 'majority', 'never', 'wanted', 'kangs', 'happen', 'bring', 'back', 'moose', 'make', 'swangs', 'canon']",kangs split already tired like seriously majority never wanted kangs happen bring back moose make swangs canon
So good beating the kangs. Hoops capital is Melbourne baby!! @MelbUnitedHQ 💪💪#NBL21,False,en,3,0,2021-02-27 11:08:52,1365619906708791299,"['good', 'beating', 'kangs', 'hoops', 'capital', 'melbourne', 'baby', 'nbl21']",good beating kangs hoops capital melbourne baby nbl21
Why are this matatu mixes so fire..,False,en,0,0,2021-02-27 10:07:36,1365604489366032384,"['matatu', 'mixes', 'fire']",matatu mixes fire
"@marigold3007 @Tigress2020 @kamaalrkhan Hmm. I see your stand about d.s., as I mentioned earlier.
However, unlike Kangs and her fangs, I prefer to believe that an eye for an eye will make the whole world blind. It's counter-productive.

Don't you see how mad she gets when she's ignored?☺She revels in mud-slinging.",False,en,0,0,2021-02-27 09:55:33,1365601455177035776,"['hmm', 'see', 'stand', 'mentioned', 'earlier', 'however', 'unlike', 'kangs', 'fangs', 'prefer', 'believe', 'eye', 'eye', 'make', 'whole', 'world', 'blind', 'counter', 'productive', 'see', 'mad', 'gets', 'ignored', 'revels', 'mud', 'slinging']",hmm see stand mentioned earlier however unlike kangs fangs prefer believe eye eye make whole world blind counter productive see mad gets ignored revels mud slinging
"""we wuz kangs""😂😂😂😂😂😂😂😂😂 https://t.co/mYINhzyAga",True,en,0,0,2021-02-27 09:51:47,1365600510213058563,"['wuz', 'kangs']",wuz kangs
RT @allkpop: Fans amazed by the striking resemblance between the webtoon and new poster for Song Kang's new drama 'Navillera' https://t.co/…,False,en,0,148,2021-02-27 08:09:35,1365574787133673478,"['fans', 'amazed', 'striking', 'resemblance', 'webtoon', 'new', 'poster', 'song', 'kang', 'new', 'drama', 'navillera']",fans amazed striking resemblance webtoon new poster song kang new drama navillera
@cherylstopaaz @geritisfanfic Thinking about kangs being in the other room looking surprised 💀,False,en,1,0,2021-02-27 07:06:00,1365558788422565888,"['thinking', 'kangs', 'room', 'looking', 'surprised']",thinking kangs room looking surprised
Seeing blacks using KANGS memes is really funny https://t.co/VAOAHXHG4V,True,en,6,0,2021-02-27 07:03:34,1365558175991177216,"['seeing', 'blacks', 'using', 'kangs', 'memes', 'really', 'funny']",seeing blacks using kangs memes really funny
"S1 Ep 5 of Chappelle Show beat the white-displacemeny ""Bridgertown"" to the we-wuz-UK-Kangs trend by 16 years. Ca 2005, this joke was based on absurd.  Out of 5 mil English in 1810, only 20k were black. Most were stevedores and hookers. It's good to see how based Chappelle is. https://t.co/AffOApeYHK",False,en,0,0,2021-02-27 06:57:57,1365556760090603524,"['s1', 'ep', '5', 'chappelle', 'show', 'beat', 'white', 'displacemeny', 'bridgertown', 'wuz', 'uk', 'kangs', 'trend', '16', 'years', 'ca', '2005', 'joke', 'based', 'absurd', '5', 'mil', 'english', '1810', '20k', 'black', 'stevedores', 'hookers', 'good', 'see', 'based', 'chappelle']",s1 ep 5 chappelle show beat white displacemeny bridgertown wuz uk kangs trend 16 years ca 2005 joke based absurd 5 mil english 1810 20k black stevedores hookers good see based chappelle
RT @FiifiRN: Bro e be the waze I promise cos rn Nbs we waz kangs  I Dey on. Going back to sleep,False,en,0,1,2021-02-27 06:43:52,1365553216402915330,"['bro', 'e', 'waze', 'promise', 'cos', 'rn', 'nbs', 'waz', 'kangs', 'dey', 'going', 'back', 'sleep']",bro e waze promise cos rn nbs waz kangs dey going back sleep
I be getting on Kangs last nerve,False,en,1,0,2021-02-27 06:36:49,1365551444603121668,"['getting', 'kangs', 'last', 'nerve']",getting kangs last nerve
Bro e be the waze I promise cos rn Nbs we waz kangs  I Dey on. Going back to sleep,False,en,2,1,2021-02-27 06:25:25,1365548576588390402,"['bro', 'e', 'waze', 'promise', 'cos', 'rn', 'nbs', 'waz', 'kangs', 'dey', 'going', 'back', 'sleep']",bro e waze promise cos rn nbs waz kangs dey going back sleep
RT @ruephoriia: OKAY so what if cheryl finds out about the surrogacy before everyone else and then organizes this celebration for toni and…,False,en,0,5,2021-02-27 06:11:31,1365545074680070147,"['okay', 'cheryl', 'finds', 'surrogacy', 'everyone', 'else', 'organizes', 'celebration', 'toni']",okay cheryl finds surrogacy everyone else organizes celebration toni
Why is #Riverdale the only CW show on a extra long break after episode 10?!?!?! #Riverdale #RiverdaleSeason5 #Kangs #Choni https://t.co/Foo8EpDA1u,False,en,4,0,2021-02-27 05:58:28,1365541792561602561,"['riverdale', 'cw', 'show', 'extra', 'long', 'break', 'episode', '10', 'riverdale', 'riverdaleseason5', 'kangs', 'choni']",riverdale cw show extra long break episode 10 riverdale riverdaleseason5 kangs choni
"I am so glad Riverdale is finally starting to take notice of Toni, Kevin, Fangs, Reggie and the other characters and changing things up a bit. :) 😍
#Riverdale #RiverdaleSeason5 #Kangs #Choni #ReggieMantle #Sweetpea",False,en,6,0,2021-02-27 05:56:16,1365541238892498946,"['glad', 'riverdale', 'finally', 'starting', 'take', 'notice', 'toni', 'kevin', 'fangs', 'reggie', 'characters', 'changing', 'things', 'bit', 'riverdale', 'riverdaleseason5', 'kangs', 'choni', 'reggiemantle', 'sweetpea']",glad riverdale finally starting take notice toni kevin fangs reggie characters changing things bit riverdale riverdaleseason5 kangs choni reggiemantle sweetpea
RT @milfyswift: they r gonna say toni is a surrogate for kangs next episode I KNOW that's right but also idc about kangs.. 😞 however please…,False,en,0,3,2021-02-27 05:55:58,1365541162757591040,"['r', 'gonna', 'say', 'toni', 'surrogate', 'kangs', 'next', 'episode', 'know', 'right', 'also', 'idc', 'kangs', 'however', 'please']",r gonna say toni surrogate kangs next episode know right also idc kangs however please
"Ok but like is Casey hinting at something. It feels like he is hinting that Kevin and Fangs will get married this season or at least one of them will propose. I hope they aren't bating us and actually will give us #Kangs content. 😍
#Riverdale #RiverdaleSeason5",False,en,5,0,2021-02-27 05:53:36,1365540565622747140,"['ok', 'like', 'casey', 'hinting', 'something', 'feels', 'like', 'hinting', 'kevin', 'fangs', 'get', 'married', 'season', 'least', 'one', 'propose', 'hope', 'bating', 'us', 'actually', 'give', 'us', 'kangs', 'content', 'riverdale', 'riverdaleseason5']",ok like casey hinting something feels like hinting kevin fangs get married season least one propose hope bating us actually give us kangs content riverdale riverdaleseason5
"If anything bad happens to them and they break up or something the writers will pay... Jk (kinda). But in all seriousness look at how Fangs looks at Kevin when hes leaving. So cute! They need more screen time to showcase their relationship more. 😭😍
#Riverdale #Kangs https://t.co/7bGaDhJ5jt",False,en,4,0,2021-02-27 05:51:26,1365540021806067717,"['anything', 'bad', 'happens', 'break', 'something', 'writers', 'pay', 'jk', 'kinda', 'seriousness', 'look', 'fangs', 'looks', 'kevin', 'hes', 'leaving', 'cute', 'need', 'screen', 'time', 'showcase', 'relationship', 'riverdale', 'kangs']",anything bad happens break something writers pay jk kinda seriousness look fangs looks kevin hes leaving cute need screen time showcase relationship riverdale kangs
"So last year I talked to Casey Cott at home con 1v1. He said that season 5 would have bountiful storylines for him and that the fans made this happen........ So far I don't see it. But let's hope that he will get what he deserves and he didn't lie to me. 
#Riverdale #Kangs 😍 https://t.co/tGazJekPkc",False,en,3,0,2021-02-27 05:50:38,1365539821343576071,"['last', 'year', 'talked', 'casey', 'cott', 'home', 'con', '1v1', 'said', 'season', '5', 'would', 'bountiful', 'storylines', 'fans', 'made', 'happen', 'far', 'see', 'let', 'hope', 'get', 'deserves', 'lie', 'riverdale', 'kangs']",last year talked casey cott home con 1v1 said season 5 would bountiful storylines fans made happen far see let hope get deserves lie riverdale kangs
"I can't wait to have Cheryl and Archie friendship. They started to have it in season one and then just stoped. 😍
#Riverdale #RiverdaleSeason5 #Kangs #Choni",False,en,3,0,2021-02-27 05:48:51,1365539371764523008,"['wait', 'cheryl', 'archie', 'friendship', 'started', 'season', 'one', 'stoped', 'riverdale', 'riverdaleseason5', 'kangs', 'choni']",wait cheryl archie friendship started season one stoped riverdale riverdaleseason5 kangs choni
