tweets,quote_status,language,favorite_count,retweet_count,time,id
RT @ThatsRiverdale: Best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with…,False,en,0,1,2021-03-03 01:11:39,1366919164384800770
RT @barchiewalker: NO BUT HE IS LITERALLY SLIDING HIS HAND FROM HER THIGH TO HER BUTT- 😳😳👁👄👁🤯😍  #barchie FUCKING CRAZY BUT I LOVE IT https:…,False,en,0,1,2021-03-03 01:10:48,1366918949355606021
RT @archiebstty: riverdale promoting barchie once again ❤️ https://t.co/02oN13RwBu,False,en,0,46,2021-03-03 01:08:38,1366918403026542595
@barcheated @michonnesconnie barchie nace slowburn excellence mmhmm,False,en,2,0,2021-03-03 01:08:22,1366918338207711235
RT @barchie247: Imagine varchie kisses and Archie pulls away and says Ronnie I love Betty- https://t.co/Qr3kd5eam8,False,en,0,1,2021-03-03 01:08:17,1366918318834126848
Best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with intense feelings already there!This isn’t a story about whether or not they’ll develop feelings but who will own up to them first?Or will they keep running away? https://t.co/Fii9DfSFlX,False,en,1,1,2021-03-03 01:08:05,1366918266048966658
I do love barchie but they’ve had more sex scene than Choni in only 2 episodes https://t.co/e27Jh66cxh,True,en,0,0,2021-03-03 01:07:25,1366918098352275462
"Ugh the way Archie was looking at Betty and the memory flashes plus the kiss.. yooo!😆🥲
#Barchie
#Riverdale https://t.co/XonSAMZcXu",False,en,0,0,2021-03-03 01:00:52,1366916451857129474
@jaceyskeene Giving barchie https://t.co/cVQLsADP73,False,en,1,0,2021-03-03 00:57:03,1366915491302891520
RT @jaceyskeene: barchie is rising and bugvarchie are bones i need y’all to understand this,False,en,0,2,2021-03-03 00:55:47,1366915170400940038
Don’t you wonder though why these major pages are so supportive? Are they trying to make people comfortable shipping them? I’ve seen reactors ask audiences not to be cancelled for their reaction! Did all ships get this social media backing? We don’t need it. #Barchie #Riverdale,False,en,0,0,2021-03-03 00:54:54,1366914948232843273
RT @ThatsRiverdale: “Barchie is just sex”ppl CHOOSING to ignore everything that happened up until season 5. Ba isn’t dating or confessing f…,False,en,0,1,2021-03-03 00:52:35,1366914363890700288
"“Barchie is just sex”ppl CHOOSING to ignore everything that happened up until season 5. Ba isn’t dating or confessing feelings, what exactly is being rushed?Fwb sets a steady pace bc they can be together without having to deal with the scary stuff yet, their fear of getting hurt! https://t.co/xbbzaZz17h",False,en,12,1,2021-03-03 00:52:15,1366914281514684420
RT @hcssandras: barchie had four seasons of development and over two decades of friendship before they fucked? who you calling rushed?,True,en,0,1,2021-03-03 00:51:49,1366914174408916992
"@lightinaugust @slowburnsftw Poor Veronica if she thinks they can just pick up where they left off 😭😭 She’s going to end up second guessing every time barchie interacts, and who can blame her? Why do Varchie fans want this for her? Veronica deserves better!",False,en,3,0,2021-03-03 00:50:01,1366913718236426242
RT @bcttystoni: it's so ironic how varchie five stans saying barchie is just s3x lol https://t.co/2RnfYqDAaF,False,en,0,8,2021-03-03 00:49:02,1366913472336977925
"RT @barchie2021: Archie looking at the love of his life: 
#barchie https://t.co/0g1Xg75vbT",False,en,0,8,2021-03-03 00:48:58,1366913457476558851
RT @guaidolce: Which one? #Riverdale #varchie #Barchie,False,en,0,50,2021-03-03 00:48:22,1366913306410291200
@bettyarchics barchie: the endgame ship of betty cooper and archie andrews o... https://t.co/2EDscBQtwp https://t.co/B5BkjNSsms,False,en,7,0,2021-03-03 00:47:55,1366913192430088194
"RT @cherisseng: Just when I thought #Riverdale is going nowhere, #Barchie finally happened. Now I have all the reasons to watch every episo…",False,en,0,27,2021-03-03 00:40:22,1366911292460646403
RT @vcrchies: not barchie oomfs saying varchie is just sex..,False,en,0,1,2021-03-03 00:34:36,1366909838899478533
RT @barchie2021: BETTY WAS THERE TO SEE ARCHIE. SHE WAS ASKING IF JUGHEAD WAS HOME TO CHECK IF THEY WERE GOING TO BE ALONE. #riverdale #bar…,False,en,0,2,2021-03-03 00:34:18,1366909763381063680
RT @MegBonneyWriter: Now they are pretending to date!!?!!!!! #Barchie #Riverdale season 4 https://t.co/lTlC1l2fkM,False,en,0,26,2021-03-03 00:34:02,1366909696599326720
I don’t stan barchie BUT CHILE DONT BE TALKING OUT YA ASS HELPPP https://t.co/CFVDCKhe5A,True,en,0,0,2021-03-03 00:33:37,1366909593415274497
"RT @Chingch1me: Anyways, I knew that barchie hooked up but was too busy to tweet about them. I support this storyline so much, waited since…",False,en,0,5,2021-03-03 00:33:27,1366909548846600195
RT @bar_endgame: I hope Jughead narrates a line like that in the future #Riverdale #Barchie @CW_Riverdale @ArchieComics https://t.co/bc9Ihv…,False,en,0,1,2021-03-03 00:33:05,1366909457716944902
@barcheated and barchie still won https://t.co/mev3llzKg6,False,en,2,0,2021-03-03 00:32:50,1366909396811448320
"RT @BingeRiverdale: In a February 2020 video for BuzzFeed, KJ Apa, Archie, declared his belief that the idea of Archie and Betty being endg…",False,en,0,1,2021-03-03 00:32:43,1366909364112678914
RT @RoselynKate15: Loving their hair contrast 😍 #barchie #Riverdale,True,en,0,0,2021-03-03 00:32:33,1366909324556140552
"RT @stephanieppot: ✨ NEW #BARCHIE VIDEO ✨ They are unreal, I’m obsessed! #BARCHIETIMEJUMP #BarchieSeason5 #BarchieRising #Riverdale

▶ http…",False,en,0,3,2021-03-03 00:32:14,1366909244562436097
