tweets,quote_status,language,favorite_count,retweet_count,time,id
RT @TVLine: Was #Riverdale Snack Out of Character? Did #WandaVision Leave Loophole? Was #SVU's Stabler in Touch With Fin? What Were #Superm…,False,en,0,9,2021-02-27 15:03:41,1365678999230382082
RT @nocontextrvd: Doritos sales after this 📈 #Riverdale,True,en,0,18,2021-02-27 09:04:04,1365588501614493698
RT @GhostBoyXXX999: I can't believe this is Canon in the #Riverdale universe 😂 #Doritos https://t.co/ymZ0ObYs3O,False,en,0,1,2021-02-27 03:29:53,1365504398940463114
"Doritos CMO: Tweettok this, instafsce that, but how do we really get our brand to appeal to the #youth?

Creative Director: Let’s have Hiram Lodge eat them in Riverdale. https://t.co/AXZRaDbchI",False,en,1,0,2021-02-27 02:38:59,1365491591041986561
RT @ArchieComics: @TVObsesssed Hiram found out that Archie loves Doritos so he bought up every bag in Riverdale and ate them just to spite…,False,en,0,3,2021-02-27 02:30:10,1365489371483430920
I can't believe this is Canon in the #Riverdale universe 😂 #Doritos https://t.co/ymZ0ObYs3O,False,en,1,1,2021-02-27 02:29:42,1365489256509173760
"RT @renatasnacks: I just wanna say that I think it's fucked up that Doritos exist in Riverdale, seems like they should be eatin Toditos Che…",False,en,0,2,2021-02-27 00:33:18,1365459962516930561
RT @hamandjams: Hiram Lodge for @Doritos  #Riverdale https://t.co/pjiKVTGdfV,False,en,0,2,2021-02-26 23:34:21,1365445128244973569
I also want to point out from an earlier scene that Doritos must be a sponsor this season #Riverdale,False,en,0,0,2021-02-26 22:48:34,1365433605829328897
me when my dad buys chilli heatwave doritos : haha nice riverdale reference dad,False,en,2,0,2021-02-26 22:42:37,1365432108324450304
@cherylbloss0m i cant lie it worked i don’t even like chilli heatwave doritos but i will be eating them as a riverdale reference,False,en,0,0,2021-02-26 22:41:57,1365431937389756417
Riverdale is so stupid why is Hiram Lodge eating Doritos,False,en,0,0,2021-02-26 22:22:06,1365426945970864132
"im sorry all media has to stop youll never be hiram and reggie evilly eating doritos together in riverdale season 5 episode 6: chapter eighty-two: ""back to school""",False,en,7,0,2021-02-26 22:11:54,1365424378423476224
Ok really starting to enjoy Riverdale again. Even with this goofy ass product placement of an evil crime boss enjoying his Doritos 😤 https://t.co/s2KXaVHLtQ,False,en,3,0,2021-02-26 21:55:21,1365420212829507591
Did I just see Hiram Lodge eating Doritos? #Riverdale,False,en,0,0,2021-02-26 21:54:32,1365420005966364676
Did Riverdale Choose Odd Snack? Did WandaVision Leave Loophole? Is SVU's Fin in Touch With Stabler? And More Qs https://t.co/UACmN6OPYf https://t.co/kNACHWKjri,False,en,0,0,2021-02-26 17:39:17,1365355771396038658
@TVObsesssed Hiram found out that Archie loves Doritos so he bought up every bag in Riverdale and ate them just to spite his mid-20s nemesis.,False,en,5,3,2021-02-26 17:34:43,1365354621154295808
@ArchieComics Can anyone advise why actual Doritos were used and not given a fake Riverdale style name? https://t.co/eYcqTdQlee,True,en,1,0,2021-02-26 17:32:45,1365354128420073477
Dude I'm actually so bothered by the Doritos it's not even funny. Why the hell wouldn't they bless it w a fake Riverdale name like LITERALLY EVERY OTHER COMPANY THEY MENTION https://t.co/eYcqTdQlee,True,en,1,0,2021-02-26 17:32:11,1365353982978367490
Was #Riverdale Snack Out of Character? Did #WandaVision Leave Loophole? Was #SVU's Stabler in Touch With Fin? What Were #SupermanAndLois' Kids Thinking? And Many More TV Qs! https://t.co/7WFQtYp58v,False,en,24,9,2021-02-26 17:29:37,1365353337202348035
"@r9nhyun ( renjun tahan na hug na kita )

he chuckles before retracting his hand, opening the stash which revealed various amounts of snacks, “hmm... Jeno took the pringles,,, so we have Doritos and Popcorn and Candy ! And drinks” he grins, “which one do you want?”",False,en,0,0,2021-02-26 15:19:35,1365320614483959808
The scene in #Riverdale where #HiramLodge is suddenly clutching and eating @Doritos made me choke with laughter. Way to embrace product placement.,False,en,0,0,2021-02-26 15:18:05,1365320236522737672
"Also it makes no sense for Hiram Lodge to be eating the Doritos. Jughead should eat the Doritos in his survival bunker by lamplight. wait UNLESS....Doritos DON'T exist in Riverdale and they ONLY exist in Sodale, the property development Hiram is building to destroy Riverdale! https://t.co/v4VAVvGpus",False,en,3,0,2021-02-26 15:00:55,1365315916700016645
"I just wanna say that I think it's fucked up that Doritos exist in Riverdale, seems like they should be eatin Toditos Cheese Triangles that they bought with their American Excess cards at the vending machine outside of 23 Hour Fitness https://t.co/tUKhhTeTDg",False,en,29,2,2021-02-26 14:58:28,1365315301735284739
somehow that product placement with hiriam lodge eating doritos is one of the weirdest thing to happen in riverdale,False,en,0,0,2021-02-26 14:36:24,1365309748392980484
RT @BrianEPaterson: Watching #Riverdale 5x06. Why do I suddenly have the urge to house a bag of nacho cheese Doritos? https://t.co/OZG3WBQf…,False,en,0,8,2021-02-26 14:04:54,1365301817916194828
"here's what happened in episode 6 of riverdale :
there is a doritos ad in the middle of the show
betty and archie are doing ""the titanic""
last but not least, jughead thinks that maybe there is an alien in riverdale, like real alien with spaceship",False,en,0,0,2021-02-26 10:08:17,1365242274519543808
