tweets,quote_status,language,favorite_count,retweet_count,time,id
RT @chqmbies: #riverdale : smells like bugvarchie endgame to me https://t.co/XAuw8LU0QG,False,en,0,65,2021-02-27 07:40:59,1365567592795168769
RT @chqmbies: #riverdale : smells like bugvarchie endgame to me https://t.co/XAuw8LU0QG,False,en,0,65,2021-02-27 07:24:21,1365563406376435713
RT @chqmbies: #riverdale : smells like bugvarchie endgame to me https://t.co/XAuw8LU0QG,False,en,0,65,2021-02-27 07:20:30,1365562438050066432
RT @jenniesivy: @CW_Riverdale bughead endgame when https://t.co/G7kmcS3V1d,False,en,0,17,2021-02-27 07:19:41,1365562233162375168
@CW_Riverdale bughead endgame. that’s the tea.,False,en,0,0,2021-02-27 07:06:10,1365558828771680257
RT @chqmbies: #riverdale : smells like bugvarchie endgame to me https://t.co/XAuw8LU0QG,False,en,0,65,2021-02-27 07:04:29,1365558404836585479
RT @chqmbies: #riverdale : smells like bugvarchie endgame to me https://t.co/XAuw8LU0QG,False,en,0,65,2021-02-27 06:29:14,1365549536945471491
RT @chqmbies: #riverdale : smells like bugvarchie endgame to me https://t.co/XAuw8LU0QG,False,en,0,65,2021-02-27 06:23:24,1365548068297445376
"RT @cherisseng: Just when I thought #Riverdale is going nowhere, #Barchie finally happened. Now I have all the reasons to watch every episo…",False,en,0,23,2021-02-27 06:21:54,1365547690373750784
"RT @reinhartsbliss: @CW_Riverdale Bughead endgame 😗
https://t.co/MH0rETfi6n",False,en,0,15,2021-02-27 06:12:44,1365545383045308421
"@mishacollins
 lets sue the Riverdale writers and give a barchie , falice , choni endgame",False,en,0,0,2021-02-27 05:31:58,1365535122942910464
"@mishacollins lets sue the Riverdale writers and give a barchie , falice , chino endgame",False,en,0,0,2021-02-27 05:31:41,1365535050641547265
"I hate when they use this word, but I really do hope they’re endgame. 😍 #Riverdale https://t.co/50Uxq5zfRb",True,en,0,0,2021-02-27 05:07:30,1365528967059546113
