tweets,quote_status,language,favorite_count,retweet_count,time,id
@bestkisseswrld betty cooper and veronica lodge from riverdale😁 https://t.co/kBDK4IXbzq,False,en,0,0,2021-02-26 22:27:20,1365428259341692928
Your telling me Cole Sprouse had a whole Disney career but Riverdale got him to sing MULTIPLE TIMES,False,en,0,0,2021-02-26 22:27:13,1365428232019972098
"RT @tabithagifs: ""I'm in, if you want some help...""
[5.06] #Riverdale @EriVeronica https://t.co/LtpfoXodea",False,en,0,40,2021-02-26 22:26:56,1365428161148641282
@josiekory riverdale That bad omg,False,en,0,0,2021-02-26 22:26:51,1365428141116784646
RT @BarchieUpdates: She really has been in love with him for 17 years #Riverdale https://t.co/Ocf10fwH3C,False,en,0,96,2021-02-26 22:26:43,1365428105536548865
RT @BarchieUpdates: Riverdale’s epic love story #riverdale https://t.co/vgt5zLu3za,False,en,0,73,2021-02-26 22:26:42,1365428101497446400
"RT @undeadache: You don’t get trans people? Okay, give me the plot of Riverdale within the Twitter character limit.",False,en,0,1,2021-02-26 22:26:38,1365428086163005440
"RT @BugheadUpdates: Chrissy Maroon, a Riverdale writer just said this... 😌 #Riverdale https://t.co/LPX48CiqFU",False,en,0,10,2021-02-26 22:26:36,1365428076017025037
I hate how it was supposed to be a fun weekend but Veronica told Archie to get the bags like he was a concierge especially when Andre offered to help in front of their friends #Barchie #Riverdale https://t.co/9KbKAlMqbg,False,en,0,0,2021-02-26 22:26:35,1365428070333755393
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,491,2021-02-26 22:26:33,1365428061894832132
I keep giving riverdale another chance and they just. keep. singing.,False,en,0,0,2021-02-26 22:26:19,1365428007062667264
"RT @azalben: My #Riverdale episode by episode guide has been updated with a few new tidbits, including the synopsis for the March 17 episod…",False,en,0,2,2021-02-26 22:26:19,1365428005212999686
RT @theycrave_kee: RiverDale and All American getting so good bruh!,False,en,0,5,2021-02-26 22:26:17,1365427995238944772
@ranksauce Wasn't Jughead from Riverdale supposed to be as well? Idk I never watched it or anything. Just heard about it,False,en,0,0,2021-02-26 22:26:00,1365427927161184269
RT @CW_Riverdale: Where is Polly? Stream #Riverdale: https://t.co/LWIRBSp7Ue https://t.co/zvW48UAFFl,False,en,0,70,2021-02-26 22:25:52,1365427892361056256
@tooyounxlarry Hshshs it was funny Pls I got scared who else would shit with me on riverdale 😩😩,False,en,1,0,2021-02-26 22:25:52,1365427890284806147
"@SARDONICJ0NES Her lips parted into a smile, this was one of there first times seeing each other since returning back to Riverdale, but she didn’t care she wanted to regain there old connection.”Hi..” She looked down a little then back at him.”I’m sorry..” she quickly walked over and hugged him",False,en,0,0,2021-02-26 22:25:47,1365427870584217603
RT @BestShipsInTheW: Jughead and Betty from Riverdale  https://t.co/hiOcsjSxxh,False,en,0,58,2021-02-26 22:25:39,1365427836467748864
RT @classyreinhart: the day we get them back is gonna be such a good day😌 #Riverdale https://t.co/ZpzlUYiL4p,False,en,0,71,2021-02-26 22:25:28,1365427789864796161
"RT @mooninfirst: ""they/them pronouns are confusing"" okay what the fuck even happens in riverdale",False,en,0,33,2021-02-26 22:25:28,1365427789399171076
@cloudystylessx @hscherrymeds i had a riverdale one 🤚🏼😭,False,en,0,0,2021-02-26 22:25:25,1365427777068036100
"|| okay but listen ,,,,,,,,,,,

caos x riverdale crossover gc 🤩",False,en,1,0,2021-02-26 22:25:04,1365427690124300292
"Decades ago, the Archie Publishers had lawyers aggressively harass non profit Archie fan fiction writers because they didn't want a bastardization of their brand out there. It wasn't about money, but the ""integrity of the brand""

These days, Riverdale is on season fucking FIVE.",False,en,1,0,2021-02-26 22:24:57,1365427659405201408
@CW_Riverdale Give my poor baby a break!!!,False,en,0,0,2021-02-26 22:24:44,1365427607672479744
RT @sweetchonis: ladies of Riverdale hyping up Madelaine’s Fabletics 🥺 https://t.co/lkTFKZptJq,False,en,0,16,2021-02-26 22:24:42,1365427598621343750
@archietonis https://t.co/qNrgcYe931 but you have to log in or something,False,en,0,0,2021-02-26 22:24:39,1365427587544137729
Similar vibes just more El Salvadorans and pupusarias in this Riverdale https://t.co/VXiAkLiwZb,True,en,0,0,2021-02-26 22:24:38,1365427580212543489
"RT @chonigif: the roles have been reversed 👀
[2x16 - 5x07] #riverdale #choni @VanessaMorgan @madelainepetsch https://t.co/0YiSaS3YUH",False,en,0,28,2021-02-26 22:24:35,1365427569252855813
