tweets,quote_status,language,favorite_count,retweet_count,time,id
I am soooooo not very happy with Jughead’s Mom and sister in Riverdale. I was really hopeful for all the Suite Life characters to be involved in this series who is with me?,False,en,0,0,2021-03-04 02:53:48,1367307258833608704
RT @lovemesometopaz: if you still think bughead was always supposed to be a main couple and take over the show and lili and cole’s relation…,False,en,0,140,2021-03-04 02:53:42,1367307234544259072
RT @yagzswiftperry: i feel like the last two years are scripted by riverdale writers.,False,en,0,9,2021-03-04 02:53:12,1367307107276578817
"#Riverdale season 5: Fans disappointed that there won't be an episode tonight
https://t.co/2EVKtZZJKN https://t.co/xDMoDFGXDf",False,en,0,0,2021-03-04 02:53:00,1367307056428949509
im convinced the writers of riverdale dont know how people actually talk,False,en,0,0,2021-03-04 02:52:13,1367306858810257409
"RT @_multifandom93: I decided to branch out and make this account into a multifandom acct. Plz like/rt/follow if you like: 
Riverdale 
One…",False,en,0,7,2021-03-04 02:51:44,1367306739285131267
@brie_cantrell_ Literally it’s like Riverdale and 13 reason why fused,False,en,1,0,2021-03-04 02:51:28,1367306671446511616
"RT @barchie_gifs: They're crazy in love
[5.06 - Chapter Eighty-Two: Back To School]
@lilireinhart @RiverdaleWriter @Neil_McNeil
#Barchie #R…",False,en,0,24,2021-03-04 02:51:09,1367306590823579650
"RT @bestarchiebetty: on a 10/10 scale how hot barchie is? 💆🏻‍♀️

#Riverdale #Barchie https://t.co/xMTDL2Yf70",False,en,0,16,2021-03-04 02:50:34,1367306443502813186
omfg ok so i don’t know what confirmations are supposed to be like irl but i have a strong feeling that veronicas confirmation in riverdale is not it lmaooo why are they singing bittersweet symphony?? in a catholic church?,False,en,1,0,2021-03-04 02:50:19,1367306383008407554
"RT @Barchiedaily: Betty looking at Archie’s lips is a form of art 
#Riverdale https://t.co/PceTkpUPHI",False,en,0,30,2021-03-04 02:50:07,1367306332718723078
@CW_Riverdale Is there no new episode this week 😔✋🏼,False,en,0,0,2021-03-04 02:49:47,1367306248916459520
like it genuinely troubles me sometimes how people need to find “the discourse” in everything. it’s annoying. shut up. anyway back to watching riverdale,False,en,0,0,2021-03-04 02:49:47,1367306246274088960
