tweets,quote_status,language,favorite_count,retweet_count,time
RT @CW_Riverdale: Where is Polly? Stream #Riverdale: https://t.co/LWIRBSp7Ue https://t.co/zvW48UAFFl,False,en,0,57,2021-02-26 21:38:05
I judge people who faithfully watch riverdale,False,en,0,0,2021-02-26 21:38:01
"@RiverdaleWriter @CW_Riverdale Betty&amp;Archie chem is insane, loving this atory with them! #RiverdaleSeason5",False,en,0,0,2021-02-26 21:37:14
RT @BestShipsInTheW: Jughead and Betty from Riverdale  https://t.co/hiOcsjSxxh,False,en,0,39,2021-02-26 21:36:34
@AlaynaSafar I feel a shift coming after watching today’s but it’s just going to be Flo’s redemption while Steffy knicks off somewhere and creates some space for others to move to the front. But is that really what the audience wants. We gave up on Riverdale after the end of S2!,False,en,0,0,2021-02-26 21:36:12
@nypost She looks like Betty from Riverdale going undercover.,False,en,0,0,2021-02-26 21:35:54
"RT @bestshipsxworld: toni topaz and cheryl blossom from riverdale
 https://t.co/mwWsT4ofLI",False,en,0,111,2021-02-26 21:35:50
@DARAWYLIV @CW_Riverdale literallyyyyy ughhhhh @RiverdaleWriter,False,en,1,0,2021-02-26 21:35:40
Riverdale coming like Mendenhall on some raggedy shit. Pot hole city.,False,en,0,0,2021-02-26 21:35:32
Can't believe Riverdale would betray me like this and make me listen to that awful song off that awful star is born film. https://t.co/ObMYOaOSTS,False,en,0,0,2021-02-26 21:35:27
can't wait for riverdale season 5 to hit netflix because i really need something to make fun of asap,False,en,0,0,2021-02-26 21:34:52
Overwatch just watched episode S05 | E06 of Riverdale! #Riverdale  https://t.co/1GRMOSjr5C #tvtime https://t.co/wIkQ1JRVRM,False,en,0,0,2021-02-26 21:34:49
@daechwitaaaaaa @CW_Riverdale i would be such a good writer smh 😭😭😭,False,en,1,0,2021-02-26 21:34:41
"@hybridlegend omg me 😂 Though I used to love Cole before he was in Riverdale &amp; now... I just can't look at him the same again. Like, no 🙅‍♀️",False,en,0,0,2021-02-26 21:34:29
RT @JustZayy: A woman that’s 5’7 and a man that’s 5’10 always the same height.,False,en,0,2562,2021-02-26 21:34:14
"@DARAWYLIV @CW_Riverdale hire her. Trust me, u need it.",False,en,1,0,2021-02-26 21:33:58
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,479,2021-02-26 21:33:51
RT @BarchieUpdates: Riverdale’s epic love story #riverdale https://t.co/vgt5zLu3za,False,en,0,68,2021-02-26 21:33:50
RT @bocxtop: riverdale was one level of bad like still kinda funny but this??? they’re messing with us https://t.co/2Wqc0u1l9E,False,en,0,120,2021-02-26 21:33:48
"STARTER [ Feel free to reply ] 

Betty sat in her rectangular room, prepping everything together for her first day teaching at riverdale high. Part of her always thought she would be a psychology teacher but that never happened.

Now she was spending her days in Quantico—",False,en,0,0,2021-02-26 21:33:47
RT @DARAWYLIV: did i just rewrite season 5 of riverdale on the spot to my best friend? yes tf i did-,False,en,0,1,2021-02-26 21:33:22
RT @willsjug: right but when are we getting them back?? #Riverdale https://t.co/ir8mzqm065,False,en,0,14,2021-02-26 21:33:14
"RT @city_whitehorse: Snow Removal ❄️ March 1 to 5
Priority 1, 2 and 3 roads: Riverdale, Copper Ridge
Priority 1 and 2 roads: Downtown",False,en,0,3,2021-02-26 21:33:13
"RT @BUGGIEDALE: We forgot about Jughead being hot while punching a guy because he called her girlfriend hot way to fast 
#Riverdale https:/…",False,en,0,2,2021-02-26 21:33:10
RT @VanessaMorgan: Tonight 📺 @CW_Riverdale https://t.co/mZRjJpt9KL,False,en,0,960,2021-02-26 21:33:09
@ewitswafa ain’t he that mf from riverdale?,False,en,1,0,2021-02-26 21:33:08
@CW_Riverdale jughead should help too! a parallel to season 1 🥺,False,en,0,0,2021-02-26 21:32:55
@CW_Riverdale nah bughead endgame. they look so disconnected,False,en,1,0,2021-02-26 21:32:34
