tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
@bestkisseswrld betty cooper and veronica lodge from riverdale😁 https://t.co/kBDK4IXbzq,False,en,0,0,2021-02-26 22:27:20,1365428259341692928,"['betty', 'cooper', 'veronica', 'lodge', 'riverdale']",betty cooper veronica lodge riverdale
Your telling me Cole Sprouse had a whole Disney career but Riverdale got him to sing MULTIPLE TIMES,False,en,0,0,2021-02-26 22:27:13,1365428232019972098,"['telling', 'cole', 'sprouse', 'whole', 'disney', 'career', 'riverdale', 'got', 'sing', 'multiple', 'times']",telling cole sprouse whole disney career riverdale got sing multiple times
"RT @tabithagifs: ""I'm in, if you want some help...""
[5.06] #Riverdale @EriVeronica https://t.co/LtpfoXodea",False,en,0,40,2021-02-26 22:26:56,1365428161148641282,"['want', 'help', '5', '06', 'riverdale']",want help 5 06 riverdale
@josiekory riverdale That bad omg,False,en,0,0,2021-02-26 22:26:51,1365428141116784646,"['riverdale', 'bad', 'omg']",riverdale bad omg
RT @BarchieUpdates: She really has been in love with him for 17 years #Riverdale https://t.co/Ocf10fwH3C,False,en,0,96,2021-02-26 22:26:43,1365428105536548865,"['really', 'love', '17', 'years', 'riverdale']",really love 17 years riverdale
RT @BarchieUpdates: Riverdale’s epic love story #riverdale https://t.co/vgt5zLu3za,False,en,0,73,2021-02-26 22:26:42,1365428101497446400,"['riverdale', 'epic', 'love', 'story', 'riverdale']",riverdale epic love story riverdale
"RT @undeadache: You don’t get trans people? Okay, give me the plot of Riverdale within the Twitter character limit.",False,en,0,1,2021-02-26 22:26:38,1365428086163005440,"['get', 'trans', 'people', 'okay', 'give', 'plot', 'riverdale', 'within', 'twitter', 'character', 'limit']",get trans people okay give plot riverdale within twitter character limit
"RT @BugheadUpdates: Chrissy Maroon, a Riverdale writer just said this... 😌 #Riverdale https://t.co/LPX48CiqFU",False,en,0,10,2021-02-26 22:26:36,1365428076017025037,"['chrissy', 'maroon', 'riverdale', 'writer', 'said', 'riverdale']",chrissy maroon riverdale writer said riverdale
I hate how it was supposed to be a fun weekend but Veronica told Archie to get the bags like he was a concierge especially when Andre offered to help in front of their friends #Barchie #Riverdale https://t.co/9KbKAlMqbg,False,en,0,0,2021-02-26 22:26:35,1365428070333755393,"['hate', 'supposed', 'fun', 'weekend', 'veronica', 'told', 'archie', 'get', 'bags', 'like', 'concierge', 'especially', 'andre', 'offered', 'help', 'front', 'friends', 'barchie', 'riverdale']",hate supposed fun weekend veronica told archie get bags like concierge especially andre offered help front friends barchie riverdale
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,491,2021-02-26 22:26:33,1365428061894832132,"['vote', 'riverdale', 'time', 'jump', 'archie', 'amp', 'betty', 'like', 'archie', 'amp', 'veronica', 'barchie', 'riverdale', 'varchie']",vote riverdale time jump archie amp betty like archie amp veronica barchie riverdale varchie
I keep giving riverdale another chance and they just. keep. singing.,False,en,0,0,2021-02-26 22:26:19,1365428007062667264,"['keep', 'giving', 'riverdale', 'another', 'chance', 'keep', 'singing']",keep giving riverdale another chance keep singing
"RT @azalben: My #Riverdale episode by episode guide has been updated with a few new tidbits, including the synopsis for the March 17 episod…",False,en,0,2,2021-02-26 22:26:19,1365428005212999686,"['riverdale', 'episode', 'episode', 'guide', 'updated', 'new', 'tidbits', 'including', 'synopsis', 'march', '17', 'episod']",riverdale episode episode guide updated new tidbits including synopsis march 17 episod
RT @theycrave_kee: RiverDale and All American getting so good bruh!,False,en,0,5,2021-02-26 22:26:17,1365427995238944772,"['riverdale', 'american', 'getting', 'good', 'bruh']",riverdale american getting good bruh
@ranksauce Wasn't Jughead from Riverdale supposed to be as well? Idk I never watched it or anything. Just heard about it,False,en,0,0,2021-02-26 22:26:00,1365427927161184269,"['jughead', 'riverdale', 'supposed', 'well', 'idk', 'never', 'watched', 'anything', 'heard']",jughead riverdale supposed well idk never watched anything heard
RT @CW_Riverdale: Where is Polly? Stream #Riverdale: https://t.co/LWIRBSp7Ue https://t.co/zvW48UAFFl,False,en,0,70,2021-02-26 22:25:52,1365427892361056256,"['polly', 'stream', 'riverdale']",polly stream riverdale
