tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
"@CW_Riverdale please do #veggie, way more interesting than the other stale ships",False,en,0,0,2021-02-27 17:15:59,1365712293904986115,"['please', 'veggie', 'way', 'interesting', 'stale', 'ships']",please veggie way interesting stale ships
@CW_Riverdale Would have been better if Barchie = Veggie. HONESTLY!!!,False,en,6,0,2021-02-25 01:38:49,1364751675525763080,"['would', 'better', 'barchie', 'veggie', 'honestly']",would better barchie veggie honestly
"RT @barchie_gifs: Riverdales best &amp; most iconic kisses
[4.17 - 2.17 - 5.03 - 3.09]
@WriterRAS @RiverdaleWriter 
#Barchie #Choni #Falice #Ve…",False,en,0,57,2021-02-24 20:41:05,1364676746004623367,"['riverdales', 'best', 'amp', 'iconic', 'kisses', '4', '17', '2', '17', '5', '03', '3', '09', 'barchie', 'choni', 'falice']",riverdales best amp iconic kisses 4 17 2 17 5 03 3 09 barchie choni falice
"@barchieisupreme @BARCHIESOUL Stydia
Klamille
Clace
Sizzy
Bellarke
Scalison
Haleb
Delena
Steroline
Handon

To name a few. 

On Riverdale just Barchie, Choni and Veggie :) 
But I'll be happy with Jugitha :)",False,en,0,0,2021-02-23 03:46:37,1364059058261561347,"['stydia', 'klamille', 'clace', 'sizzy', 'bellarke', 'scalison', 'haleb', 'delena', 'steroline', 'handon', 'name', 'riverdale', 'barchie', 'choni', 'veggie', 'happy', 'jugitha']",stydia klamille clace sizzy bellarke scalison haleb delena steroline handon name riverdale barchie choni veggie happy jugitha
"RT @deIenasx: 🏆#RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/LtcMKlSWod

#varchie #bughead #choni #beronica #archosie…",False,en,0,4,2021-02-23 02:46:14,1364043865339084806,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'varchie', 'bughead', 'choni', 'beronica', 'archosie']",riverdale best ship vote ur faves varchie bughead choni beronica archosie
"🏆#RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/LtcMKlSWod

#varchie #bughead #choni #beronica #archosie #barchie #falice #mevin #kangs #cheronica #veggie

Ps. I'm creating another one where you can only vote once with your account and we'll compare https://t.co/zehlFUdYPf",False,en,11,4,2021-02-23 01:47:18,1364029032929632256,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'falice', 'mevin', 'kangs', 'cheronica', 'veggie', 'ps', 'creating', 'another', 'one', 'vote', 'account', 'compare']",riverdale best ship vote ur faves varchie bughead choni beronica archosie barchie falice mevin kangs cheronica veggie ps creating another one vote account compare
"RT @deIenasx: 🏆 RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/YxWUhUOWLD

#riverdale #varchie #bughead #choni #beronica…",False,en,0,2,2021-02-23 00:51:49,1364015069915451395,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'riverdale', 'varchie', 'bughead', 'choni', 'beronica']",riverdale best ship vote ur faves riverdale varchie bughead choni beronica
"🏆 RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/YxWUhUOWLD

#riverdale #varchie #bughead #choni #beronica #archosie #barchie #falice #mevin #kangs #cheronica #veggie https://t.co/mW2oUtMXJg",False,en,12,2,2021-02-23 00:32:44,1364010269320630275,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'riverdale', 'varchie', 'bughead', 'choni', 'beronica', 'archosie', 'barchie', 'falice', 'mevin', 'kangs', 'cheronica', 'veggie']",riverdale best ship vote ur faves riverdale varchie bughead choni beronica archosie barchie falice mevin kangs cheronica veggie
"RT @kat__writes: Even #Veggie shippers got some crumbs this episode, #Riverdale fandom is thriving",False,en,0,6,2021-02-22 09:43:31,1363786488295665666,"['even', 'veggie', 'shippers', 'got', 'crumbs', 'episode', 'riverdale', 'fandom', 'thriving']",even veggie shippers got crumbs episode riverdale fandom thriving
"I never overly shipped any Riverdale couple, except Veggie &amp; Choni, but after this last episode I hopped on the #Barchie ship a little too fuckin fast #Riverdale",False,en,2,0,2021-02-20 00:20:36,1362920050840264706,"['never', 'overly', 'shipped', 'riverdale', 'couple', 'except', 'veggie', 'amp', 'choni', 'last', 'episode', 'hopped', 'barchie', 'ship', 'little', 'fuckin', 'fast', 'riverdale']",never overly shipped riverdale couple except veggie amp choni last episode hopped barchie ship little fuckin fast riverdale
